	observed_otus
370(-)_SD_t2A	366
370(-)_SD_t2B	252
370(-)_SD_t7C	446
370(-)_t2A	1431
370(-)_W_t2A	469
370(-)_W_t2B	371
370(-)_W_t7C	839
432(-)_t2B	548
432(-)_SD_t2A	412
432(-)_SD_t2B	289
432(-)_SD_t2C	328
432(-)_SD_t7C	607
432(-)_SD_t7D	827
432(-)_t2C	915
432(-)_W_t2A	423
432(-)_W_t2B	462
432(-)_W_t7C	718
432(-)_W_t7D	610
