index,k__Archaea;p__Euryarchaeota,k__Archaea;p__[Parvarchaeota],k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__FBP,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,k__Bacteria;p__GN02,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Lentisphaerae,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OD1,k__Bacteria;p__OP11,k__Bacteria;p__OP3,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR406,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Synergistetes,k__Bacteria;p__TM6,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WPS-2,k__Bacteria;p__WS3,k__Bacteria;p__[Thermi],tissue,bacteria,type,treatment,time,plate,library,notes
T10_432_DAM_B_I_2,0.0,0.0,8.0,251.0,0.0,199.0,0.0,0.0,0.0,6.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170774.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_K_2,0.0,0.0,12.0,8219.0,0.0,199.0,10.0,0.0,0.0,33.0,0.0,0.0,784.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158113.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_L_2,0.0,0.0,0.0,4803.0,0.0,268.0,4.0,0.0,0.0,7.0,0.0,0.0,315.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,178119.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_BJ_2,0.0,0.0,75.0,2092.0,0.0,268.0,13.0,0.0,0.0,9.0,0.0,0.0,2044.0,3.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,6.0,187294.0,60.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,46.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_W_A_C_2,0.0,0.0,637.0,34078.0,6.0,24160.0,898.0,0.0,873.0,450.0,0.0,42.0,1183.0,4.0,2.0,32.0,0.0,1721.0,8.0,0.0,0.0,568.0,148074.0,384.0,0.0,0.0,33.0,2.0,0.0,1109.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,10.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_D_F_2,0.0,0.0,460.0,25786.0,30.0,11885.0,1269.0,0.0,721.0,786.0,0.0,126.0,1389.0,0.0,0.0,20.0,0.0,836.0,0.0,0.0,0.0,469.0,156797.0,208.0,0.0,0.0,38.0,0.0,0.0,1122.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,10.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_G_I_2,0.0,0.0,365.0,6688.0,0.0,8465.0,1004.0,0.0,284.0,210.0,0.0,27.0,630.0,0.0,0.0,16.0,0.0,428.0,0.0,0.0,0.0,258.0,120411.0,119.0,0.0,0.0,10.0,0.0,0.0,384.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,10.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_J_L_2,0.0,0.0,1186.0,19454.0,25.0,41914.0,494.0,0.0,514.0,68.0,0.0,67.0,713.0,0.0,0.0,31.0,0.0,891.0,0.0,0.0,0.0,501.0,128921.0,80.0,79.0,0.0,3670.0,0.0,0.0,374.0,2.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,10.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_W_A_C_2,0.0,0.0,2618.0,2576.0,143.0,36502.0,412.0,9.0,1523.0,60891.0,0.0,99.0,219.0,0.0,0.0,729.0,0.0,2084.0,81.0,0.0,0.0,2162.0,69551.0,540.0,0.0,0.0,8.0,21.0,0.0,4757.0,18.0,0.0,0.0,wastewater,wastewater,wastewater,none,10.0,ducitaplate1,,filter; wastewater only; 10 days; 3 replicates pooled
T10_W_D_E_2,0.0,0.0,3913.0,1251.0,77.0,31427.0,533.0,13.0,808.0,96003.0,0.0,97.0,185.0,0.0,0.0,753.0,0.0,253.0,16.0,0.0,0.0,1976.0,65103.0,277.0,0.0,0.0,11.0,0.0,0.0,2637.0,46.0,0.0,0.0,wastewater,wastewater,wastewater,none,10.0,ducitaplate1,,filter; wastewater only; 10 days; 2 replicates pooled
T5_432_DAM_B_H_2,0.0,0.0,11.0,675.0,0.0,512.0,27.0,0.0,6.0,4.0,0.0,0.0,1037.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156597.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,5.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_I_2,0.0,0.0,11.0,326.0,0.0,360.0,9.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,205315.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,5.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,5.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_J_2,0.0,0.0,71.0,341.0,0.0,377.0,0.0,0.0,6.0,0.0,0.0,0.0,588.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,140749.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,5.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_L_2,0.0,0.0,16.0,2094.0,0.0,78.0,7.0,0.0,0.0,4.0,0.0,0.0,2677.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,8.0,174359.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,5.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_W_D_F_2,0.0,0.0,1718.0,20477.0,245.0,35201.0,2121.0,20.0,3783.0,8728.0,0.0,683.0,2390.0,7.0,0.0,250.0,0.0,6973.0,136.0,0.0,0.0,2978.0,167877.0,234.0,0.0,0.0,99.0,18.0,0.0,5562.0,19.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,5.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_432_DAM_W_G_I_2,0.0,0.0,559.0,7700.0,83.0,23467.0,1112.0,19.0,1666.0,1563.0,0.0,464.0,1128.0,0.0,2.0,112.0,0.0,3163.0,26.0,0.0,0.0,911.0,190261.0,42.0,0.0,0.0,50.0,3.0,0.0,2173.0,3.0,0.0,6.0,S_polyrhiza432_9509,none,ambient_water,none,5.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_432_DAM_W_J_L_2,0.0,0.0,1480.0,19635.0,318.0,30885.0,1715.0,55.0,3868.0,5344.0,0.0,921.0,1952.0,18.0,118.0,156.0,13.0,7619.0,136.0,4.0,0.0,2237.0,220308.0,29.0,0.0,0.0,25.0,47.0,105.0,5173.0,35.0,0.0,0.0,S_polyrhiza432_9509,none,ambient_water,none,5.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_W_A_C_2,0.0,0.0,3660.0,15521.0,679.0,34110.0,1920.0,137.0,3741.0,43364.0,0.0,1058.0,1456.0,12.0,11.0,475.0,0.0,4506.0,573.0,5.0,0.0,2649.0,131883.0,196.0,0.0,0.0,50.0,127.0,151.0,10023.0,98.0,0.0,0.0,wastewater,wastewater,wastewater,none,5.0,ducitaplate1,,filter; wastewater only; 05 days; 3 replicates pooled
T5_W_D_E_2,12.0,0.0,2426.0,7265.0,797.0,29322.0,1176.0,131.0,2355.0,49215.0,0.0,801.0,1023.0,0.0,8.0,419.0,0.0,1050.0,563.0,0.0,0.0,2698.0,116272.0,223.0,0.0,43.0,132.0,47.0,0.0,7836.0,88.0,0.0,4.0,wastewater,wastewater,wastewater,none,5.0,ducitaplate1,,filter; wastewater only; 05 days; 2 replicates pooled
