"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.SD_treated"	"rab.win.water_treated"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.670087226655287	0.910283156372209	0.705262966200466	0.929382194600351	-3.15943832048313	-3.23990840804782	-3.05534332533844	-0.237653618444896	6.32211105205495	-0.0269364017922975	0.482142864566691
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	0.84215155949496	0.95764592260406	0.674181721056721	0.93266626799923	6.40708817711125	7.00883305040217	6.04863656729616	-0.7227204241729	8.805703812236	-0.0814512848681496	0.416481104556348
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.609587682194761	0.90728202919454	0.774579933954934	0.948285211647549	5.17747089634976	5.20863793973941	5.10131902760244	0.442869388861348	5.16604140046321	0.106978162642156	0.438752809666995
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.609587682194761	0.90728202919454	0.774579933954934	0.948285211647549	5.17747089634976	5.20863793973941	5.10131902760244	0.442869388861348	5.16604140046321	0.106978162642156	0.438752809666995
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.378057569584842	0.805914539134911	0.388490675990676	0.838508707213171	-3.6853013206185	-2.87293638685922	-4.35483724877638	-1.8705993686998	4.98316642381223	-0.289440237444665	0.36748335512885
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.456642785541621	0.832941661405468	0.487434440559441	0.867673965062151	-4.094876609261	-3.65072988365688	-4.61661272158656	-1.35361597267319	4.78160944399172	-0.262315790512507	0.383928622367016
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.850840907541468	0.957950562754539	0.809008352758353	0.960032014517732	7.03685506279158	7.09555237631498	6.74540545892505	-0.223921892737515	1.86282263695656	-0.119069852711719	0.452115832894075
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.850840907541468	0.957950562754539	0.809008352758353	0.960032014517732	7.03685506279158	7.09555237631498	6.74540545892505	-0.223921892737515	1.86282263695656	-0.119069852711719	0.452115832894075
"Anaeromyxobacter"	"Proteobacteria"	"Myxococcaceae"	0.367908244670695	0.800824206130232	0.415557012432012	0.848617668412693	-3.67228265366011	-2.81743679838328	-4.35761254139332	-1.99279713549071	5.2202532015401	-0.334341553823821	0.347438822319978
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.557793337222442	0.871869350401816	0.613398407148407	0.900491823022535	-3.47889264908522	-3.69446330027864	-3.25030538552956	0.261027512564242	4.92888091801091	0.0433734321873415	0.482142864566691
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.557793337222442	0.871869350401816	0.613398407148407	0.900491823022535	-3.47889264908522	-3.69446330027864	-3.25030538552956	0.261027512564242	4.92888091801091	0.0433734321873415	0.482142864566691
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.558942567866816	0.870949555535383	0.577573815073815	0.896923114316948	-3.91888247804599	-3.82882837928681	-4.03954119620507	-0.112390640343116	4.63654577184023	-0.0309337273222066	0.483296220720805
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.379360962867014	0.809396524256655	0.451671765734266	0.867767503767142	-1.48267703319563	-2.44267419362552	1.23013382230592	2.20563473003939	6.20242270299463	0.316169554657741	0.376392036602783
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.222462504675475	0.761090609053776	0.232697163947164	0.825261517749524	4.89073125618335	5.16744790832392	4.44435873509046	-0.77092247107065	1.76003407180698	-0.289742744842118	0.292410818429147
"Bacillus"	"Firmicutes"	"Bacillaceae"	0.456019616317516	0.856453906822905	0.502224164724165	0.89697146123635	3.6354323550796	4.25982343904003	3.58536206952781	-1.04305663421089	3.47995440270453	-0.265373554243996	0.388392905912556
"Bacillus"	"Firmicutes"	"Bacillaceae"	0.456019616317516	0.856453906822905	0.502224164724165	0.89697146123635	3.6354323550796	4.25982343904003	3.58536206952781	-1.04305663421089	3.47995440270453	-0.265373554243996	0.388392905912556
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	0.112614589980776	0.7003872195976	0.10518648018648	0.752956661388336	0.981208768588353	-1.49492281509652	2.65148666676035	3.51333457578355	5.04227804156811	0.651650239300718	0.214285890432506
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	0.112614589980776	0.7003872195976	0.10518648018648	0.752956661388336	0.981208768588353	-1.49492281509652	2.65148666676035	3.51333457578355	5.04227804156811	0.651650239300718	0.214285890432506
"Bosea"	"Proteobacteria"	"Bradyrhizobiaceae"	0.814243307621687	0.959023722170792	0.65289797008547	0.929273519247367	7.25563873750899	7.44289713422442	7.11971603127586	-0.338361402531127	1.36419505183959	-0.195855909744229	0.418708275049381
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.50295891526966	0.856999330768964	0.528048513986014	0.886572277219838	-3.9326138448964	-3.98384376769459	-3.89418993165769	0.153756661788801	5.34869062811657	0.0259903404611868	0.486607148421909
"Brevundimonas"	"Proteobacteria"	"Caulobacteraceae"	0.143067033784934	0.730735453203511	0.265981934731935	0.833569657873209	7.69838912311685	8.14487327843082	7.20604297878303	-1.91079136110467	3.51186608832043	-0.565664279701473	0.30357152501399
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	0.573585801671467	0.887941556326609	0.790536373348873	0.953516314744354	3.01463012608347	2.90114370413791	3.32083369333114	-0.181217208412436	6.89564783397976	-0.0308089751167173	0.465478856208733
"C39"	"Proteobacteria"	"Rhodocyclaceae"	0.307453340586452	0.788445211459173	0.327161033411033	0.841048569740864	0.778843358896214	-2.08324318856017	2.02197508287937	1.94977889331921	6.24617492724283	0.357011662179443	0.322939950052642
"Caedibacter"	"Proteobacteria"	"Francisellaceae"	0.107157341742384	0.695313422547662	0.188897387334887	0.752007836743112	-3.10879524764919	-1.34583473663422	-4.32859676761197	-4.08747835972469	7.51391322072466	-0.574264239761661	0.236607294223384
"Candidatus Amoebophilus"	"Bacteroidetes"	"[Amoebophilaceae]"	0.537004655756318	0.869131181648585	0.567560217560218	0.89566714625243	-3.92416085313576	-4.16911536271002	-3.79383080112678	0.537367559995928	4.66823973210977	0.0894929298180464	0.464285729190488
"Candidatus Protochlamydia"	"Chlamydiae"	"Parachlamydiaceae"	0.483057167350758	0.846744456453583	0.495758061383061	0.867678276333576	-3.9715580638096	-3.39518393655857	-4.47604593769811	-1.17411874571257	4.49824789923888	-0.210412275134026	0.389755059035045
"Capnocytophaga"	"Bacteroidetes"	"Flavobacteriaceae"	0.447198769631615	0.831895934927344	0.498027146464646	0.876648430661447	-3.90883424872984	-3.55385551102636	-4.33455802451661	-1.06744552987886	4.3291888818797	-0.211825251848375	0.400890911239789
"Caulobacter"	"Proteobacteria"	"Caulobacteraceae"	0.888243352545134	0.965721517032301	0.783050456487957	0.949009796266117	9.87939556235561	9.69125259392681	9.99105928396909	0.200971583217971	1.67893619061705	0.109021448386188	0.444196452033565
