sample_id,tissue,bacteria,type,treatment,time,dada2,classified,no_chloroplast,>1_frequency
370(5A)_W_t0B,L_minor370_DWC112,PaenibacillusRU5A,treated_tissue,water_treated,0,383751,383356,304237,304237
370(5A)_W_t2B,L_minor370_DWC112,PaenibacillusRU5A,treated_tissue,water_treated,2,401990,399992,378670,378670
370(5A)_W_t7B,L_minor370_DWC112,PaenibacillusRU5A,treated_tissue,water_treated,7,392036,391741,387725,387725
432(-)_SD_t2A,S_polyrhiza432_9509,none,treated_tissue,SD_treated,2,281118,279345,234671,234671
432(-)_SD_t2B,S_polyrhiza432_9509,none,treated_tissue,SD_treated,2,296837,296334,180213,180213
432(-)_SD_t2C,S_polyrhiza432_9509,none,treated_tissue,SD_treated,2,296802,287436,199326,199326
432(-)_SD_t7C,S_polyrhiza432_9509,none,treated_tissue,SD_treated,7,343423,343067,249888,249888
432(-)_SD_t7D,S_polyrhiza432_9509,none,treated_tissue,SD_treated,7,302432,301660,244098,244098
432(-)_t2B,S_polyrhiza432_9509,none,ambient_water,none,2,369418,369402,369247,369247
432(-)_t2C,S_polyrhiza432_9509,none,ambient_water,none,2,333684,333565,333444,333444
432(-)_W_t0A,S_polyrhiza432_9509,none,treated_tissue,water_treated,0,313670,313498,5954,5954
432(-)_W_t0B,S_polyrhiza432_9509,none,treated_tissue,water_treated,0,319517,319465,3316,3316
432(-)_W_t2A,S_polyrhiza432_9509,none,treated_tissue,water_treated,2,367922,367752,343735,343735
432(-)_W_t2B,S_polyrhiza432_9509,none,treated_tissue,water_treated,2,344467,341558,274704,274704
432(-)_W_t7C,S_polyrhiza432_9509,none,treated_tissue,water_treated,7,369188,368243,319646,319646
432(-)_W_t7D,S_polyrhiza432_9509,none,treated_tissue,water_treated,7,373067,372344,294852,294852
432(1A)_SD_t7A,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,SD_treated,7,370723,368287,161207,161207
432(1A)_SD_t7B,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,SD_treated,7,364317,363299,328415,328415
432(1A)_SD_t7C,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,SD_treated,7,332396,329348,266836,266836
432(1A)_SD_t7D,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,SD_treated,7,355389,355267,333376,333376
432(1A)_t2A,S_polyrhiza432_9509,MicrobacteriumRU1A,ambient_water,none,2,347596,347463,346995,346995
432(1A)_t2B,S_polyrhiza432_9509,MicrobacteriumRU1A,ambient_water,none,2,313461,313321,312932,312932
432(1A)_t2D,S_polyrhiza432_9509,MicrobacteriumRU1A,ambient_water,none,2,371376,371121,370659,370659
432(1A)_t7C,S_polyrhiza432_9509,MicrobacteriumRU1A,ambient_water,none,7,338340,336633,271000,271000
432(1A)_t7D,S_polyrhiza432_9509,MicrobacteriumRU1A,ambient_water,none,7,360861,358536,268653,268653
432(1A)_W_t0A,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,0,226932,226808,4540,4540
432(1A)_W_t0B,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,0,295548,295322,4739,4739
432(1A)_W_t0C,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,0,293060,292918,4193,4193
432(1A)_W_t2A,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,2,266388,265978,251035,251035
432(1A)_W_t2B,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,2,223800,223588,212146,212146
432(1A)_W_t2C,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,2,330602,330387,319086,319086
432(1A)_W_t2D,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,2,364800,364472,357038,357038
432(1A)_W_t7A,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,7,323156,321768,298929,298929
432(1A)_W_t7B,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,7,277793,276747,259663,259663
432(1A)_W_t7C,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,7,339279,338950,333204,333204
432(1A)_W_t7D,S_polyrhiza432_9509,MicrobacteriumRU1A,treated_tissue,water_treated,7,391539,389161,330121,330121
432(3D)_SD_t2A,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,SD_treated,2,279135,279108,213642,213642
432(3D)_SD_t2B,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,SD_treated,2,246459,246451,203728,203728
432(3D)_SD_t2C,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,SD_treated,2,323637,319030,219533,219533
432(3D)_t0A,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,0,286731,286704,140659,140659
432(3D)_t0B,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,0,308372,308259,108821,108821
432(3D)_t2A,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,2,313178,313123,313100,313100
432(3D)_t2B,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,2,313975,313865,313730,313730
432(3D)_W_t2A,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,2,262727,262635,233779,233779
432(3D)_W_t2B,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,2,341029,341010,300850,300850
432(3D)_W_t2C,S_polyrhiza432_9509,BacillusRU3D,treated_tissue,water_treated,2,310714,307782,262335,262335
432(5A)_SD_t2A,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,2,277411,277069,241562,241562
432(5A)_SD_t2B,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,2,156208,156128,142526,142526
432(5A)_SD_t2C,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,2,272953,272931,252984,252984
432(5A)_SD_t7A,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,7,339612,339339,325898,325898
432(5A)_SD_t7B,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,7,296166,296050,289414,289414
432(5A)_SD_t7C,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,SD_treated,7,311662,310970,248373,248373
432(5A)_W_t7A,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,water_treated,7,322916,322235,303803,303803
432(5A)_W_t7B,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,water_treated,7,367157,366936,356698,356698
432(5A)_W_t7C,S_polyrhiza432_9509,PaenibacillusRU5A,treated_tissue,water_treated,7,377537,377043,359423,359423
