"sample_id"	"feature_id"	"reads"	"Phylum"	"Family"	"Genus"	"tissue"	"bacteria"
"370(-)_W_t0B"	"b103838ad2a7d1906c5cd546335b43e4"	269	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"31a946980d008800fbb1c28da29148e7"	25	"Proteobacteria"	"Oxalobacteraceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"24720d6dbee41caf36e4e272ac5190cb"	13	"Acidobacteria"	"Solibacteraceae"	"Candidatus Solibacter"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"e87db2c6c6358a643e04819a26d83c66"	41	"Proteobacteria"	"Rhodocyclaceae"	"Hydrogenophilus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"01f822dfb97238b8045848e0c6e69514"	33	"Actinobacteria"	"Micrococcaceae"	"Micrococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"cc9b7326972086de50e6d9417a0a5050"	38	"Acidobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"2fe2e9c222ca5360a6051ee8ed3a54a1"	2	"Firmicutes"	"Erysipelotrichaceae"	"PSB-M-3"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"6bcfca9d9187e4478bf306ef55cff4d4"	10	"Actinobacteria"	"Actinospicaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"3251c0af3ac15dea9ba658884b5fcf19"	2	"Proteobacteria"	"Neisseriaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"8ce800def642f6f0baac194c55744e5a"	7	"Acidobacteria"	"Koribacteraceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"8657691ca2401063fc9ab42a675f4d2e"	8	"Cyanobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"eebcbd5159f222871185779f6faca02e"	32	"Proteobacteria"	"Phyllobacteriaceae"	"Mesorhizobium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"c53c00b2b22c83b18c2a574a5dcb8eed"	4	"Acidobacteria"	"Acidobacteriaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"5244bd584f0294d41195424f10221f32"	7	"Proteobacteria"	"Syntrophobacteraceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"70b106035854fdd4409be4c364bc02e3"	14	"Verrucomicrobia"	"auto67_4W"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"27d67c8f59b63c42360b434e8fdcef99"	15	"Proteobacteria"	"Xanthomonadaceae"	"Luteimonas"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"50c9cd0372b9ebdd5dc61e10e1f575c8"	6	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"d2f3f2da22849c82f36f4445a46b03da"	16	"Acidobacteria"	"Solibacteraceae"	"Candidatus Solibacter"	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"40689b5b3fe6a52429ef2b02223cd79a"	21	"Proteobacteria"	"Rhodospirillaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0B"	"a3bc119a9f1227c6fd48954838e9d4dc"	8	"Acidobacteria"	"RB40"	""	"L_minor370_DWC112"	"none"
"432(-)_W_t0A"	"652f28153f578b543226ad0c487f6cf2"	19	"Proteobacteria"	"Rhodocyclaceae"	"Zoogloea"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2f2b4d03f3d05fb90e99583ef0a20bd0"	20	"Bacteroidetes"	""	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1db738d08a96e048404a571dc6f798be"	42	"Proteobacteria"	"Hyphomicrobiaceae"	"Devosia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"bdb21820155ac1092ff2c61981e6c0b3"	14	"Proteobacteria"	"Neisseriaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"5ca4a74f051e469d9270a16ced822087"	439	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2188618efef0b3f0f29d376eb9826a3f"	21	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e36286bcb58304dfb00ecbf981eaa14b"	6	"Actinobacteria"	"Nocardioidaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"7565f5ca36134d5cdf7f922a413dd8e7"	54	"Actinobacteria"	"Micrococcaceae"	"Micrococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"afaedb4620453e623594d0141c18091e"	55	"Proteobacteria"	"Methylophilaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"be1418b73cdebad7075c1ed8b9f8dadb"	87	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"f2f4906e1e83a92d205d2728110443ad"	11	"Actinobacteria"	"Propionibacteriaceae"	"Propionibacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"b27c7985f7eb86de0fb947ecc5a6fc0c"	19	"Actinobacteria"	"Micrococcaceae"	"Rothia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"d97a643e742e6ee19fd010e55c5cac01"	143	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"30764ed6210dddb576255a27ff10b4e4"	17	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"ae7c887b12026d8f2f6b4fbdde79d82c"	28	"Proteobacteria"	"Sinobacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"671148edcae8e9de3112273a1294fa80"	38	"Proteobacteria"	"Comamonadaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"ef941de9ecbfeead31f30db0b6dc2173"	27	"Acidobacteria"	"Koribacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e5d7878b92bfd08e15485592e3f6b270"	112	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"8bb13206b866197dd5295521e76a5c7b"	18	"Proteobacteria"	"Hyphomicrobiaceae"	"Devosia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e61e83a029436ddd58bf43504f2b42d3"	47	"Bacteroidetes"	"[Weeksellaceae]"	"Chryseobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e46f8764da6655d6377d978012fe2054"	124	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"c8dbd11ee0755831baac05f6880d8181"	7	"Chlamydiae"	"Parachlamydiaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"01f8d539f643b442231cfa3b378db683"	15	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"75a8d81a773c9eb7d6ed5004a4d5c00a"	26	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2e7c9a507ed56040142cf992d8fb47f4"	19	"Actinobacteria"	"Dermacoccaceae"	"Dermacoccus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"b271ffbd357b54a4fd6cf492b79e62f6"	21	"Proteobacteria"	"Hyphomicrobiaceae"	"Devosia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"dc53e28b4918104c37a2b50ac69ab7f1"	37	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"84620073aad8391f7d03353888a166aa"	18	"Proteobacteria"	"Pasteurellaceae"	"Aggregatibacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0d0248609034ae29a5779fe8e4bef440"	43	"Proteobacteria"	"Pasteurellaceae"	"Actinobacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e0490be6eac7f260612dfc36fd6a3545"	10	"Proteobacteria"	"Alteromonadaceae"	"Cellvibrio"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1de7b3169ba4bff40f71bb40614f1a74"	9	"Proteobacteria"	"Enterobacteriaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"d580a739d16798e77306f987b087999f"	56	"Proteobacteria"	"Pasteurellaceae"	"Actinobacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"264669847f54aa500a41554add40f980"	15	"Acidobacteria"	"Solibacteraceae"	"Candidatus Solibacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0e56786d5f3fb13a6d2568c5c40816d9"	19	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2650d166517ce797957bb668828164e4"	58	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"d8af5d99ce5cf8f4cdbb0f227ca548ff"	9	"Firmicutes"	"[Tissierellaceae]"	"Finegoldia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"53ecd283bdd4f2da6030337fd401e957"	30	"Proteobacteria"	"Oxalobacteraceae"	"Collimonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"cb3c102a0b9136b5392c800fd22f4ad3"	12	"Proteobacteria"	"Rhizobiaceae"	"Rhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1c1c1a1b64ebcf895542e4c0b81fc960"	12	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0e18abb0c79b03e44270d0a46d03c0ac"	20	"Proteobacteria"	"Sphingomonadaceae"	"Sphingopyxis"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2e85dc97f39bc94994f119a0ed08d52b"	35	"Actinobacteria"	"Microbacteriaceae"	"Cryocola"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"39e2ce1221b004b8e4f646f035262180"	10	"Proteobacteria"	"Shewanellaceae"	"Shewanella"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"51bdbc262c549bf4dd1bd63ead56862f"	47	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"77a52fe2093cf306571ddb42d5718e50"	72	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"9266f37c9c328046e59762b7cb5fa127"	54	"Proteobacteria"	"Enterobacteriaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"66fe7b08dedb8be2f70da2d3bc1cf65d"	39	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0215477b89073fcd03866a4de19fb758"	18	"Proteobacteria"	"Halomonadaceae"	"Halomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1f4555dd646d719a398fcea03a0af8a4"	200	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"fa0ce3b2d63c400a8c4d991b835758ba"	13	"Proteobacteria"	"Alteromonadaceae"	"Cellvibrio"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"a25b1b88402fad8fa16715d18fd7795e"	39	"Actinobacteria"	"Microbacteriaceae"	"Cryocola"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"ab1258b76f7a21225c66c091a363059c"	122	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"c6059329b6398703205f6d25b7e8a649"	39	"Bacteroidetes"	"[Weeksellaceae]"	"Chryseobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"f1e58b0b5b846e4d1cd8465a6856a075"	61	"Proteobacteria"	"Rhizobiaceae"	"Agrobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"3ac07a1383388048b14f3e8f18b7cce1"	16	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"79c461a5e71413090f518a64da754d0a"	29	"Proteobacteria"	"Enterobacteriaceae"	"Serratia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"3323eca3f7a5adad59bf1d57878cca9b"	9	"Firmicutes"	"[Tissierellaceae]"	"Finegoldia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"31ef1ff06569962aa8ec23154c84068b"	13	"Firmicutes"	"Staphylococcaceae"	"Salinicoccus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"91f2901b053392f2e5590420ee3bed0b"	55	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"a34bae262ecf0ae20706d82d645fb1ec"	147	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"67371d9f1f3f5fb5ce935107b15488a1"	21	"Proteobacteria"	"Comamonadaceae"	"Rhodoferax"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"3a7fc9e06ce0dbb6e2f206a5dd7f3c8f"	92	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"cd632bcc38322bcf75ed7e827df8f1c7"	57	"Proteobacteria"	"Alcaligenaceae"	"Achromobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"6bc38f39d8ccbadabf7b6150b4371696"	8	"Actinobacteria"	"Propionibacteriaceae"	"Propionibacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0b1b904af17261f352aba04d513064ac"	42	"Proteobacteria"	"Oxalobacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"58dcbc739ccf01e9c4636d41bc947183"	69	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"0c04c9e2a18d24acc3dea7409a4b3970"	61	"Proteobacteria"	"Moraxellaceae"	"Perlucidibaca"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1b178df366ea881038b47b56127b612f"	31	"Proteobacteria"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"285c64b03884b4e8d17d9bcd12d7080b"	72	"Proteobacteria"	"Rhizobiaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"7d94bfb884d12828d768696904afa8fb"	14	"Proteobacteria"	"Burkholderiaceae"	"Burkholderia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"11b3304655e10cfa51fee415cbbe97cb"	23	"Acidobacteria"	"Koribacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"56d29bdc3b038871fb271b871a14e733"	6	"Firmicutes"	"Paenibacillaceae"	"Paenibacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"94493a74e6d2882ba600470193f87355"	27	"Actinobacteria"	"Micrococcaceae"	"Micrococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"3a0cea731c7a0e90a1ef73cb3c5aa8f6"	18	"Proteobacteria"	"Neisseriaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e0452a2c430c9538229f1906c223e540"	48	"Proteobacteria"	"Halomonadaceae"	"Halomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"7e497ed374384edf151078c9996c9915"	15	"Proteobacteria"	"Caulobacteraceae"	"Mycoplana"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"1155a48108c295d2f1f34aacc9bd96f1"	16	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"f1046a06e35dc408c8490155f2475e58"	60	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"16b19edc5dbd1501a1c16c02fd20696b"	9	"Actinobacteria"	"Coriobacteriaceae"	"Atopobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"74aace94126b7596da47e0c34167820e"	21	"Proteobacteria"	"Sinobacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e07bb2d0651e6478d0d585a24777232f"	84	"Proteobacteria"	"Comamonadaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"6a51a452d1a83fb05e2555a8aad21f69"	20	"Proteobacteria"	"Enterobacteriaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"75f228f46744b2b280e6385d9ae0ea8e"	6	"Actinobacteria"	"Brevibacteriaceae"	"Brevibacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"fb0a8f79273412eb335339b38ea2c0cb"	4	"Actinobacteria"	"Actinomycetaceae"	"Actinomyces"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"e83a3788d3b80f4bd452ff12c28a4ef4"	491	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"b699c8aba5ba94ea6ab036723c8f7ff2"	150	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"8fde29499d8275d33cdb2acf6e82848b"	132	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"cd570c787d58402daf4e719805569240"	48	"Proteobacteria"	"Halomonadaceae"	"Halomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"300aba6ce81747f8e6994f6d173bbea5"	5	"Actinobacteria"	"Actinomycetaceae"	"Actinomyces"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"ccac39f4a3183948cb233bf8771322fc"	29	"Proteobacteria"	"Hyphomicrobiaceae"	"Devosia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"4afaeb2cc5a03e310c7876034bbf6ee0"	484	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"6ed9fe0f62e32cec8b746cbe0b348e1f"	9	"Firmicutes"	"Planococcaceae"	"Lysinibacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"6b0d16625464d37c7d398d73c7f051f6"	63	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"eebcbd5159f222871185779f6faca02e"	13	"Proteobacteria"	"Phyllobacteriaceae"	"Mesorhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2d1e09e864537f979cf09cdebe85d925"	12	"Proteobacteria"	"Neisseriaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"195466d7195a527a63753ff5d62220b1"	381	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"4af7cd8759aa8aca552b13160140b101"	81	"Proteobacteria"	"Comamonadaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"d541964a31e949fa13197c1b0fffdbc9"	47	"Proteobacteria"	"Comamonadaceae"	"Limnohabitans"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"4476bfce011a97a530a18c4c0b4ddb38"	7	"Proteobacteria"	""	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"011c4613181ff63bb26d6042b653e3e9"	26	"Proteobacteria"	"[Chromatiaceae]"	"Rheinheimera"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"2b4908061422f5cc3bd050f2f1198eff"	51	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"7b30761fd931dc66be0bb0fbb38b085b"	61	"Proteobacteria"	"Oxalobacteraceae"	"Collimonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"fada03f689c22b4b9777dd10a663ec0b"	16	"Acidobacteria"	"Solibacteraceae"	"Candidatus Solibacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"10c95fc96b8f9da51df07eb7be17f405"	68	"Proteobacteria"	"Alcaligenaceae"	"Achromobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"f6c046149a01b772d139523aaf95960a"	52	"Proteobacteria"	"Moraxellaceae"	"Perlucidibaca"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"5d56ee4de4ab24623a85ec57234e6a71"	20	"Proteobacteria"	"Burkholderiaceae"	"Burkholderia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"297016257b98a4dca8e83aaf1ee12e84"	44	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0A"	"b103838ad2a7d1906c5cd546335b43e4"	45	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"de61729d48a46f20cc68e5c6e4e30dc6"	58	"Firmicutes"	"Aerococcaceae"	"Alloiococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"eb4906f2025583cb35635cd9add1a663"	34	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"84af2f7969cecc6c686c8d8e9fd7f95b"	23	"Proteobacteria"	"Moraxellaceae"	"Moraxella"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"dc6544dd4b852770a9bab6ab643a0993"	3	"Proteobacteria"	"Xanthomonadaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"62e281ab9460db01d103d83fbe35cc0a"	54	"Actinobacteria"	"Streptomycetaceae"	"Streptomyces"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"eebcbd5159f222871185779f6faca02e"	13	"Proteobacteria"	"Phyllobacteriaceae"	"Mesorhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"195466d7195a527a63753ff5d62220b1"	140	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"73510b8343e4012f35438a6bf7a038e3"	10	"Firmicutes"	"[Tissierellaceae]"	"Peptoniphilus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"356a9330fbe62e36b97b991705d2c9e1"	13	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"cebe80d9608c827650c1b19a886517d2"	153	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"1f4555dd646d719a398fcea03a0af8a4"	113	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"2650d166517ce797957bb668828164e4"	38	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"706616e8bcf7b15c8670cbc692cc2584"	87	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"a34bae262ecf0ae20706d82d645fb1ec"	79	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"baab0fadd936a355cd18b3919d9dcdbc"	40	"Proteobacteria"	"Moraxellaceae"	"Moraxella"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"f1e58b0b5b846e4d1cd8465a6856a075"	45	"Proteobacteria"	"Rhizobiaceae"	"Agrobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"5ca4a74f051e469d9270a16ced822087"	202	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"30c5e64b536c243dd3fe77d517df3b1c"	13	"Proteobacteria"	"Rhodospirillaceae"	"Inquilinus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"75f70a917b29e5afa3ded010229a7565"	5	"Proteobacteria"	"Methylobacteriaceae"	"Methylobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"afaedb4620453e623594d0141c18091e"	25	"Proteobacteria"	"Methylophilaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"867714b8d53bad3a7a1f0a229e3211a7"	86	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"671148edcae8e9de3112273a1294fa80"	24	"Proteobacteria"	"Comamonadaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"9f171cae73e5cf79d17ed05054ce1166"	8	"Proteobacteria"	"Sphingomonadaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"48e576093989e9968b62bc5d88fad402"	101	"Proteobacteria"	"Rhizobiaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"3dc2e4f93e6aaca0b2f341871cce42d2"	16	"Proteobacteria"	"Hyphomicrobiaceae"	"Devosia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"153242d8a8f4eb4596bf126d67aa824f"	141	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"6eaf1995c6986e57a4799325a72b96b7"	33	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"011c4613181ff63bb26d6042b653e3e9"	15	"Proteobacteria"	"[Chromatiaceae]"	"Rheinheimera"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"f81290108be8d5587b31d19041bf7b1e"	12	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"0c1f652c625772370a95a3a803d04dd7"	6	"Proteobacteria"	"Brucellaceae"	"Ochrobactrum"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"024a7aa9085b4192dba3adb375ba0c5a"	6	"Proteobacteria"	"Alcaligenaceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"20a1ff1bed6a2a998b54c01bf1c2bca1"	3	"Proteobacteria"	"Pasteurellaceae"	"Haemophilus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"77a52fe2093cf306571ddb42d5718e50"	205	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
