SampleID	Compartment	Site	Cultivation	Run	Cultivar	SampleCounts	Description	paired_id	paired_type	location
JE.Lundberg.63	Endosphere	Spooner Airstrip	EcoFarm	1	S102	56535	Endosphere_3.5	Spooner Airstrip-3.5-plant	plant	Spooner Airstrip
JE.Lundberg.66	Endosphere	Spooner Airstrip	EcoFarm	1	S102	64906	Endosphere_3.6	Spooner Airstrip-3.6-plant	plant	Spooner Airstrip
JE.Lundberg.69	Endosphere	Spooner Airstrip	EcoFarm	1	S102	56461	Endosphere_3.7	Spooner Airstrip-3.7-plant	plant	Spooner Airstrip
JE.Lundberg.72	Endosphere	Spooner Airstrip	EcoFarm	1	S102	61291	Endosphere_3.8	Spooner Airstrip-3.8-plant	plant	Spooner Airstrip
JE.Soil.189	Bulk Soil	Arbuckle	Greenhouse	4	Soil	87593	1-9-BS	9-1-environment	environment	Arbuckle
JE.Soil.109	Bulk Soil	Sacramento	Greenhouse	3	Soil	52083	10-9-BS	9-10-environment	environment	Sacramento
JE.Soil.309	Bulk Soil	Sacramento	Greenhouse	4	Soil	84938	11-9-BS	9-11-environment	environment	Sacramento
JE.Soil.133	Bulk Soil	Sacramento	Greenhouse	3	Soil	12493	12-9-BS	9-12-environment	environment	Sacramento
JE.Soil.13	Bulk Soil	Arbuckle	Greenhouse	3	Soil	51258	3-9-BS	9-3-environment	environment	Arbuckle
JE.Soil.37	Bulk Soil	Arbuckle	Greenhouse	3	Soil	60094	4-9-BS	9-4-environment	environment	Arbuckle
JE.Soil.285	Bulk Soil	Sacramento	Greenhouse	4	Soil	61590	9-9-BS	9-9-environment	environment	Sacramento
JE.Soil.197	Bulk Soil	Arbuckle	Greenhouse	4	Soil	76869	1-B-BS	B-1-environment	environment	Arbuckle
JE.Soil.117	Bulk Soil	Sacramento	Greenhouse	3	Soil	91768	10-B-BS	B-10-environment	environment	Sacramento
JE.Soil.141	Bulk Soil	Sacramento	Greenhouse	3	Soil	33116	12-B-BS	B-12-environment	environment	Sacramento
JE.Soil.21	Bulk Soil	Arbuckle	Greenhouse	3	Soil	34582	3-B-BS	B-3-environment	environment	Arbuckle
JE.Soil.45	Bulk Soil	Arbuckle	Greenhouse	3	Soil	33451	4-B-BS	B-4-environment	environment	Arbuckle
JE.Soil.269	Bulk Soil	Davis	Greenhouse	4	Soil	91223	8-B-BS	B-8-environment	environment	Davis
JE.Soil.293	Bulk Soil	Sacramento	Greenhouse	4	Soil	71363	9-B-BS	B-9-environment	environment	Sacramento
JE.Soil.193	Bulk Soil	Arbuckle	Greenhouse	4	Soil	76327	1-E-BS	E-1-environment	environment	Arbuckle
JE.Soil.113	Bulk Soil	Sacramento	Greenhouse	3	Soil	61932	10-E-BS	E-10-environment	environment	Sacramento
JE.Soil.17	Bulk Soil	Arbuckle	Greenhouse	3	Soil	46397	3-E-BS	E-3-environment	environment	Arbuckle
JE.Soil.41	Bulk Soil	Arbuckle	Greenhouse	3	Soil	35329	4-E-BS	E-4-environment	environment	Arbuckle
JE.Soil.241	Bulk Soil	Davis	Greenhouse	4	Soil	71964	6-E-BS	E-6-environment	environment	Davis
JE.Soil.265	Bulk Soil	Davis	Greenhouse	4	Soil	81976	8-E-BS	E-8-environment	environment	Davis
JE.Soil.185	Bulk Soil	Arbuckle	Greenhouse	4	Soil	48312	1-I-BS	I-1-environment	environment	Arbuckle
JE.Soil.105	Bulk Soil	Sacramento	Greenhouse	3	Soil	94463	10-I-BS	I-10-environment	environment	Sacramento
JE.Soil.129	Bulk Soil	Sacramento	Greenhouse	3	Soil	86138	12-I-BS	I-12-environment	environment	Sacramento
JE.Soil.33	Bulk Soil	Arbuckle	Greenhouse	3	Soil	33353	4-I-BS	I-4-environment	environment	Arbuckle
JE.Soil.57	Bulk Soil	Davis	Greenhouse	3	Soil	46630	5-I-BS	I-5-environment	environment	Davis
JE.Soil.233	Bulk Soil	Davis	Greenhouse	4	Soil	62656	6-I-BS	I-6-environment	environment	Davis
JE.Soil.257	Bulk Soil	Davis	Greenhouse	4	Soil	53434	8-I-BS	I-8-environment	environment	Davis
JE.Soil.281	Bulk Soil	Sacramento	Greenhouse	4	Soil	49564	9-I-BS	I-9-environment	environment	Sacramento
JE.Soil.181	Bulk Soil	Arbuckle	Greenhouse	4	Soil	78758	1-M-BS	M-1-environment	environment	Arbuckle
JE.Soil.101	Bulk Soil	Sacramento	Greenhouse	3	Soil	30539	10-M-BS	M-10-environment	environment	Sacramento
JE.Soil.301	Bulk Soil	Sacramento	Greenhouse	4	Soil	120078	11-M-BS	M-11-environment	environment	Sacramento
JE.Soil.125	Bulk Soil	Sacramento	Greenhouse	3	Soil	40605	12-M-BS	M-12-environment	environment	Sacramento
JE.Soil.5	Bulk Soil	Arbuckle	Greenhouse	3	Soil	161407	3-M-BS	M-3-environment	environment	Arbuckle
JE.Soil.29	Bulk Soil	Arbuckle	Greenhouse	3	Soil	33794	4-M-BS	M-4-environment	environment	Arbuckle
JE.Soil.229	Bulk Soil	Davis	Greenhouse	4	Soil	55874	6-M-BS	M-6-environment	environment	Davis
JE.Soil.253	Bulk Soil	Davis	Greenhouse	4	Soil	81798	8-M-BS	M-8-environment	environment	Davis
JE.Soil.177	Bulk Soil	Arbuckle	Greenhouse	4	Soil	79524	1-N-BS	N-1-environment	environment	Arbuckle
JE.Soil.121	Bulk Soil	Sacramento	Greenhouse	3	Soil	26753	12-N-BS	N-12-environment	environment	Sacramento
JE.Soil.1	Bulk Soil	Arbuckle	Greenhouse	3	Soil	36592	3-N-BS	N-3-environment	environment	Arbuckle
JE.Soil.249	Bulk Soil	Davis	Greenhouse	4	Soil	169811	8-N-BS	N-8-environment	environment	Davis
JE.Soil.273	Bulk Soil	Sacramento	Greenhouse	4	Soil	58754	9-N-BS	N-9-environment	environment	Sacramento
