sample_id	type	location	group_id	paired_id	paired_type
bac.RT.3.10	endosphere	jk_experimental_station	3.10	3.10_plant	plant
bac.RT.3.12	endosphere	jk_experimental_station	3.12	3.12_plant	plant
bac.RT.3.13	endosphere	jk_experimental_station	3.13	3.13_plant	plant
bac.RT.3.15	endosphere	jk_experimental_station	3.15	3.15_plant	plant
bac.RT.3.16	endosphere	jk_experimental_station	3.16	3.16_plant	plant
bac.RT.3.18	endosphere	jk_experimental_station	3.18	3.18_plant	plant
bac.RT.3.19	endosphere	jk_experimental_station	3.19	3.19_plant	plant
bac.RT.3.21	endosphere	jk_experimental_station	3.21	3.21_plant	plant
bac.RT.3.22	endosphere	jk_experimental_station	3.22	3.22_plant	plant
bac.RT.3.24	endosphere	jk_experimental_station	3.24	3.24_plant	plant
bac.RT.3.3	endosphere	jk_experimental_station	3.3	3.3_plant	plant
bac.RT.3.4	endosphere	jk_experimental_station	3.4	3.4_plant	plant
bac.RT.3.6	endosphere	jk_experimental_station	3.6	3.6_plant	plant
bac.RT.3.7	endosphere	jk_experimental_station	3.7	3.7_plant	plant
bac.RT.3.9	endosphere	jk_experimental_station	3.9	3.9_plant	plant
bac.RH.1.1	rhizosphere	jk_experimental_station	1.1	1.1_plant	plant
bac.RH.1.10	rhizosphere	jk_experimental_station	1.10	1.10_plant	plant
bac.RH.1.12	rhizosphere	jk_experimental_station	1.12	1.12_plant	plant
bac.RH.1.13	rhizosphere	jk_experimental_station	1.13	1.13_plant	plant
bac.RH.1.15	rhizosphere	jk_experimental_station	1.15	1.15_plant	plant
bac.RH.1.16	rhizosphere	jk_experimental_station	1.16	1.16_plant	plant
bac.RH.1.18	rhizosphere	jk_experimental_station	1.18	1.18_plant	plant
bac.RH.1.19	rhizosphere	jk_experimental_station	1.19	1.19_plant	plant
bac.RH.1.21	rhizosphere	jk_experimental_station	1.21	1.21_plant	plant
bac.RH.1.22	rhizosphere	jk_experimental_station	1.22	1.22_plant	plant
bac.RH.1.24	rhizosphere	jk_experimental_station	1.24	1.24_plant	plant
bac.RH.1.3	rhizosphere	jk_experimental_station	1.3	1.3_plant	plant
bac.RH.1.4	rhizosphere	jk_experimental_station	1.4	1.4_plant	plant
bac.RH.1.6	rhizosphere	jk_experimental_station	1.6	1.6_plant	plant
bac.RH.1.7	rhizosphere	jk_experimental_station	1.7	1.7_plant	plant
bac.RH.1.9	rhizosphere	jk_experimental_station	1.9	1.9_plant	plant
bac.RH.2.1	rhizosphere	jk_experimental_station	2.1	2.1_plant	plant
bac.RH.2.10	rhizosphere	jk_experimental_station	2.10	2.10_plant	plant
bac.RH.2.12	rhizosphere	jk_experimental_station	2.12	2.12_plant	plant
bac.RH.2.13	rhizosphere	jk_experimental_station	2.13	2.13_plant	plant
bac.RH.2.15	rhizosphere	jk_experimental_station	2.15	2.15_plant	plant
bac.RH.2.16	rhizosphere	jk_experimental_station	2.16	2.16_plant	plant
bac.RH.2.18	rhizosphere	jk_experimental_station	2.18	2.18_plant	plant
bac.RH.2.19	rhizosphere	jk_experimental_station	2.19	2.19_plant	plant
bac.RH.2.21	rhizosphere	jk_experimental_station	2.21	2.21_plant	plant
bac.RH.2.22	rhizosphere	jk_experimental_station	2.22	2.22_plant	plant
bac.RH.2.24	rhizosphere	jk_experimental_station	2.24	2.24_plant	plant
bac.RH.2.3	rhizosphere	jk_experimental_station	2.3	2.3_plant	plant
bac.RH.2.4	rhizosphere	jk_experimental_station	2.4	2.4_plant	plant
bac.RH.2.6	rhizosphere	jk_experimental_station	2.6	2.6_plant	plant
bac.RH.2.7	rhizosphere	jk_experimental_station	2.7	2.7_plant	plant
bac.RH.2.9	rhizosphere	jk_experimental_station	2.9	2.9_plant	plant
bac.RH.3.1	rhizosphere	jk_experimental_station	3.1	3.1_plant	plant
bac.RH.3.10	rhizosphere	jk_experimental_station	3.10	3.10_plant	plant
bac.RH.3.12	rhizosphere	jk_experimental_station	3.12	3.12_plant	plant
bac.RH.3.13	rhizosphere	jk_experimental_station	3.13	3.13_plant	plant
bac.RH.3.15	rhizosphere	jk_experimental_station	3.15	3.15_plant	plant
bac.RH.3.16	rhizosphere	jk_experimental_station	3.16	3.16_plant	plant
bac.RH.3.18	rhizosphere	jk_experimental_station	3.18	3.18_plant	plant
bac.RH.3.19	rhizosphere	jk_experimental_station	3.19	3.19_plant	plant
bac.RH.3.21	rhizosphere	jk_experimental_station	3.21	3.21_plant	plant
bac.RH.3.22	rhizosphere	jk_experimental_station	3.22	3.22_plant	plant
bac.RH.3.24	rhizosphere	jk_experimental_station	3.24	3.24_plant	plant
bac.RH.3.3	rhizosphere	jk_experimental_station	3.3	3.3_plant	plant
bac.RH.3.4	rhizosphere	jk_experimental_station	3.4	3.4_plant	plant
bac.RH.3.6	rhizosphere	jk_experimental_station	3.6	3.6_plant	plant
bac.RH.3.7	rhizosphere	jk_experimental_station	3.7	3.7_plant	plant
bac.RH.3.9	rhizosphere	jk_experimental_station	3.9	3.9_plant	plant
