sample_id	input	filtered	denoised	non-chimeric	classified	no_chloroplast	2_frequency	bacteria
bac.RT.1.15	133521	39458	39458	38691	38683	38683	38683	38683
bac.RT.1.16	48673	15193	15193	14987	14987	14987	14987	14987
bac.RT.1.18	33966	8408	8408	8408	8394	8394	8394	8394
bac.RT.1.19	27866	7648	7648	7626	7600	7600	7600	7600
bac.RT.1.21	21217	6104	6104	6097	6097	6097	6097	6097
bac.RT.1.22	21822	6672	6672	6672	6672	6672	6672	6672
bac.RT.1.24	23920	7558	7558	7558	7538	7538	7538	7538
bac.RT.1.3	38003	5426	5426	5426	5426	5426	5426	5426
bac.RT.1.4	50870	6316	6316	6316	6316	6316	6316	6316
bac.RT.1.6	35082	5082	5082	5082	5082	5082	5082	5082
bac.RT.1.7	32628	4813	4813	4813	4813	4813	4813	4813
bac.RT.1.9	58452	6038	6038	6038	6038	6038	6038	6038
bac.RT.2.1	85875	9926	9926	9780	9780	9780	9780	9780
bac.RT.2.10	14066	1723	1723	1723	1720	1720	1720	1720
bac.RT.2.12	72489	13037	13037	12768	12768	12768	12768	12768
bac.RT.2.13	47109	14149	14149	13890	13886	13886	13886	13886
bac.RT.2.15	83722	23177	23177	22655	22643	22643	22643	22643
bac.RT.2.16	72188	21305	21305	21170	21168	21168	21168	21168
bac.RT.2.18	59057	23677	23677	20305	20305	20305	20305	20305
bac.RT.2.19	62962	18709	18709	18593	18560	18560	18560	18560
bac.RT.2.21	68312	20232	20232	20088	20061	20061	20061	20061
bac.RT.2.22	78206	22574	22574	22337	22311	22311	22311	22311
bac.RT.2.24	85029	24278	24278	23866	23830	23830	23830	23830
bac.RT.2.3	38153	4611	4611	4611	4611	4611	4611	4611
bac.RT.2.4	18396	2454	2454	2454	2454	2454	2454	2454
bac.RT.2.6	33531	4618	4618	4575	4575	4575	4575	4575
bac.RT.2.7	49642	7596	7596	7544	7544	7544	7544	7544
bac.RT.2.9	58554	6887	6887	6866	6832	6832	6832	6832
bac.RT.3.1	18406	2218	2218	2218	2218	2218	2218	2218
bac.RT.3.10	25442	10142	10142	10142	10136	10136	10136	10136
bac.RT.3.12	50297	18758	18758	18715	18689	18689	18689	18689
bac.RT.3.13	21392	4119	4119	4119	4119	4119	4119	4119
bac.RT.3.15	12913	3123	3123	3120	3120	3120	3120	3120
bac.RT.3.16	18016	5220	5220	5073	5073	5073	5073	5073
bac.RT.3.18	20274	6147	6147	6110	6107	6107	6107	6107
bac.RT.3.19	30814	8519	8519	8457	8446	8446	8446	8446
bac.RT.3.21	20907	5100	5100	4986	4983	4983	4983	4983
bac.RT.3.22	25533	7755	7755	7676	7663	7663	7663	7663
bac.RT.3.24	1395	344	344	344	344	344	344	344
bac.RT.3.3	113985	32407	32407	32233	32212	32212	32212	32212
bac.RT.3.4	98076	30843	30843	30600	30579	30579	30579	30579
bac.RT.3.6	59738	17730	17730	17678	17661	17661	17661	17661
bac.RT.3.7	88633	29339	29339	29272	29266	29266	29266	29266
bac.RT.3.9	46116	16691	16691	16523	16490	16490	16490	16490
