Genus	10_S1	10_S3	10_S4	10_S5	10_S6	10_S7	10_S8	10_S9	F_ERG	F_EY	F_JUG	F_PFN	F_WH	S_S1	S_S12	S_S14	S_S15	S_S18	S_S2	S_S3	S_S8	S_S9
Sporolactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Sporosarcina	0	0	0	0	0	0	0	7	603	0	0	0	212	0	26	0	0	0	0	0	0	0
Staphylococcus	14	61	75	348	44	65	29	103	177	26	282	103	0	218	114	19	130	125	5	94	144	235
Stenotrophomonas	0	0	0	0	0	29	14	113	1060	1253	4565	0	5575	0	346	2725	29469	17	57	478	3228	0
Steroidobacter	0	14	8	0	0	0	0	0	10	147	97	8	0	0	18	0	0	20	0	0	0	25
Streptacidiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
Streptococcus	0	123	53	319	63	130	18	243	140	36	123	58	80	157	393	160	193	420	0	156	16	243
Streptomyces	0	9	0	48	0	42	0	165	0	53	137	82	0	0	302	0	28	184	0	0	7	70
Streptosporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
Sulfurospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Symbiobacterium	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	116	0	0	0	0
Syntrophobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
Syntrophomonas	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tepidibacter	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
Tepidimicrobium	0	0	0	30	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
Tepidimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Terracoccus	68	347	83	154	95	158	223	552	0	0	0	0	0	0	0	0	0	860	0	0	0	0
Thermicanus	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Thermobifida	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
Thermomonas	0	0	0	0	0	0	0	0	133	211	1901	0	444	40	112	5	109	0	0	198	79	193
Thiobacillus	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Tolumonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Trichococcus	0	0	0	0	0	12	0	0	0	0	43	0	0	0	0	0	514	27	0	33	26	0
Truepera	35	23	0	107	52	0	41	382	98	616	2424	0	247	1547	492	0	1947	0	1788	24071	234	0
Turicibacter	0	0	0	0	0	0	0	0	15	0	0	29	0	0	0	0	0	0	0	28	0	0
Uliginosibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Ureibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0
Varibaculum	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
Veillonella	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virgisporangium	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	16	0	0
WAL_1855D	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Wautersiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0
Williamsia	22	0	0	39	0	27	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Xylanimicrobium	0	0	0	0	0	0	0	0	0	255	0	0	0	18	0	0	0	0	0	0	0	0
Yonghaparkia	0	0	0	0	0	0	0	9	0	0	0	0	0	30	11	0	0	0	0	209	0	0
Zoogloea	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
