Genus	10_S1	10_S3	10_S4	10_S5	10_S6	10_S7	10_S8	10_S9	F_ERG	F_EY	F_JUG	F_PFN	F_WH	S_S1	S_S12	S_S14	S_S15	S_S18	S_S2	S_S3	S_S8	S_S9
Cytophaga	0	0	0	0	0	0	0	0	0	51	0	0	0	6	0	0	0	0	0	0	0	0
DA101	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	4	29	0	0	0	0
Dactylosporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0
Dechloromonas	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	6
Deefgea	0	0	0	0	0	0	0	0	0	61	200	0	0	0	0	0	0	0	0	0	52	0
Deinococcus	39192	42722	89558	51846	103628	57291	92560	57126	662	107	1568	0	6038	8124	808	0	2001	41657	491	16677	466	169
Delftia	0	16	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demequina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131
Desulfococcus	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Desulfosporosinus	0	0	0	54	9	5	5	18	0	0	0	0	0	0	0	0	0	168	0	0	0	0
Desulfotomaculum	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurispora	0	5	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Devosia	89	528	36	181	107	180	526	420	2317	4101	4318	65	2726	690	5681	62	9796	1091	0	774	979	0
Dietzia	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dokdonella	0	0	0	0	0	0	0	0	0	340	751	88	22	4	235	0	20	64	0	183	174	0
Dyadobacter	0	0	0	0	0	0	23	9	0	0	17	0	61	0	24	32	99	0	0	0	17	0
Dysgonomonas	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
Ehrlichia	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
Eikenella	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	76	0	0	0	0	49
Epulopiscium	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Erwinia	0	0	0	0	0	0	0	10	0	0	170	0	600	0	0	0	4	446	0	0	45	0
Ethanoligenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
Euzebya	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium	0	90	342	0	0	238	531	29944	0	510	464	0	985	0	0	0	0	0	0	132	0	0
Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FFCH10602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Fimbriimonas	26	25	5	84	0	14	0	29	23	125	236	0	65	0	41	24	216	251	0	23	45	0
Finegoldia	0	0	0	25	0	0	0	0	0	0	0	10	0	0	0	0	21	0	0	0	0	0
Flavisolibacter	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	8	30	0	0	0	0
Flavobacterium	0	106	11	72	37	70	165	189	3759	19167	20650	325	141114	1246	4783	0	6768	3013	29	933	1975	955
Flectobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Fluviicola	0	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0	0	0	0	0	0
Friedmanniella	0	185	0	54	0	9	204	146	129	57	594	0	611	21	110	0	197	323	0	455	55	67
Fusobacterium	0	0	0	83	0	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	10	3
Gemella	28	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	15	0	0	17	9
Gemmata	0	0	0	0	0	0	0	4	5	28	23	0	8	0	2	0	16	0	0	5	4	0
Gemmatimonas	0	40	19	16	0	8	0	31	0	0	302	0	106	28	250	0	31	504	0	0	46	0
Geobacillus	0	30	0	0	27	0	12	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0
Geobacter	0	49	0	0	0	0	0	30	0	0	62	0	0	0	24	0	0	86	0	0	0	0
Geodermatophilus	0	240	0	202	84	0	336	398	63	362	840	89	620	348	573	26	1081	906	0	117	325	50
Gillisia	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0
Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Gordonia	0	0	0	0	0	0	0	0	0	46	0	0	331	0	0	0	0	0	0	0	0	0
Gracilibacter	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
Granulicatella	0	29	0	37	0	0	0	45	0	0	17	0	0	0	0	0	7	0	0	0	0	57
Haemophilus	0	0	14	0	0	0	0	9	0	0	0	0	0	0	14	0	5	0	0	0	5	22
Halomonas	0	0	0	0	0	0	0	0	0	0	19	0	0	35	0	0	0	0	0	0	0	9
HTCC	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
Hymenobacter	56	458	57	43	212	494	407	3240	12	19	17	0	96	5	244	0	692	1380	0	46	165	29
Hyphomicrobium	7	14	11	93	0	7	28	51	75	349	774	64	84	24	2274	0	72	659	0	97	66	75
Hyphomonas	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Iamia	0	0	0	0	0	0	0	0	42	27	135	8	10	0	65	0	41	13	0	73	10	154
Ignatzschineria	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inquilinus	0	0	0	0	0	0	0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	6
Jannaschia	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Janthinobacterium	377	3905	887	1283	511	2481	1984	5208	3356	8838	7919	187	141520	524	2470	835	52340	2325	0	990	39885	263
Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
Kaistobacter	79	730	267	424	139	541	703	865	276	540	2435	44	761	259	7737	0	1683	2344	0	395	207	388
Kineococcus	17	168	21	103	64	2815	1021	1051	774	403	558	0	13233	244	328	0	325	1125	0	356	699	11
Kineosporia	0	0	0	0	0	0	0	0	0	154	349	0	152	0	0	0	435	0	0	0	13	0
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0
Knoellia	0	0	0	0	0	0	0	0	0	0	105	0	97	0	0	0	13	0	0	0	0	0
Kouleothrix	34	15	190	260	187	80	11	134	0	0	0	0	0	0	0	0	0	140	0	0	4	0
