paired_id	paired_type	location
10_S1	plant	colgne_garden
10_S3	plant	colgne_garden
10_S4	plant	colgne_garden
10_S5	plant	colgne_garden
10_S6	plant	colgne_garden
10_S7	plant	colgne_garden
10_S8	plant	colgne_garden
10_S9	plant	colgne_garden
F_ERG	plant	ERG
F_EY	plant	EY
F_JUG	plant	JUG
F_PFN	plant	PFN
F_WH	plant	WH
S_S1	plant	WH
S_S12	plant	EY
S_S14	plant	EY
S_S15	plant	EY
S_S18	plant	PFN
S_S2	plant	WH
S_S3	plant	ERG
S_S8	plant	JUG
S_S9	plant	JUG
