	observed_otus
CH_DT_A	103
CH_DT_B	116
CH_DT_C	67
CH_RS_B	477
CH_W_A	414
CH_W_B	422
CH_W_C	439
CH_W_D	464
PP_CT_D	153
PP_DT_B	209
PP_W_A	548
PP_W_B	710
PP_W_C	716
PP_W_D	755
