	faith_pd
CH_DT_A	17.863350626
CH_DT_B	17.862182323
CH_DT_C	15.153270335
CH_RS_B	36.297553989
CH_W_A	38.317129077000004
CH_W_B	39.212965901
CH_W_C	41.383844208
CH_W_D	42.004717021000005
PP_CT_D	19.995318907999998
PP_DT_B	24.830731194000002
PP_W_A	54.420204349
PP_W_B	68.605424071
PP_W_C	67.092261659
PP_W_D	67.307565519
