sample_id	paired_type	location	study	host	tissue
T10_432_DAM_W_J_L_2	environment	princeton_meadows	pm_year1	duckweed	environment
T0_W_D_E_2	environment	princeton_meadows	pm_year1	duckweed	environment
T0_W_A_C_2	environment	princeton_meadows	pm_year1	duckweed	environment
T5_W_D_E_2	environment	princeton_meadows	pm_year1	duckweed	environment
T5_W_A_C_2	environment	princeton_meadows	pm_year1	duckweed	environment
T10_W_D_E_2	environment	princeton_meadows	pm_year1	duckweed	environment
T10_W_A_C_2	environment	princeton_meadows	pm_year1	duckweed	environment
370(-)_t2A	environment	princeton_meadows	pm_year2	duckweed	environment
432(-)_t2B	environment	princeton_meadows	pm_year2	duckweed	environment
432(-)_t2C	environment	princeton_meadows	pm_year2	duckweed	environment
370(-)_W_t0A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_W_t0B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t0A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t0B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_W_t2A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_W_t2B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_SD_t2A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_SD_t2B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t2A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t2B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_SD_t2A	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_SD_t2B	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_SD_t2C	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_W_t7C	plant	princeton_meadows	pm_year2	duckweed	leaf_like
370(-)_SD_t7C	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t7C	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_W_t7D	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_SD_t7C	plant	princeton_meadows	pm_year2	duckweed	leaf_like
432(-)_SD_t7D	plant	princeton_meadows	pm_year2	duckweed	leaf_like
