	shannon
2.21_plant	4.642354253689286
2.22_plant	5.0216548997831065
2.24_plant	4.729628111282742
2.3_plant	4.945646422977482
2.4_plant	5.093865476322786
2.6_plant	4.524284503269969
2.7_plant	4.664498640278637
2.9_plant	4.891656596773731
3.1_plant	3.58624012108932
3.10_plant	2.4974340538424804
3.12_plant	4.092452112591462
3.13_plant	2.6750683644480775
3.15_plant	4.564999145017864
3.16_plant	4.5233859393761415
3.18_plant	4.222423540963755
3.19_plant	4.635814603827208
3.21_plant	4.493169513961654
3.22_plant	4.4421435813864
3.24_plant	4.96297706456464
3.3_plant	4.5359087982256705
3.4_plant	4.277810497666995
3.6_plant	4.386538230865256
3.7_plant	3.5565231155536563
3.9_plant	4.138320394627789
AS1	2.718841374065734
AS2	1.487695812602011
AS3	3.4524023803702426
AS4	1.911474794875632
AS5	2.597531354100835
AS6	3.570785050829424
AS7	2.490246294432176
AS8	2.3108497147936413
AW1	2.883700478534421
AW2	3.445829941079085
AW3	3.5945506037548034
AW4	3.5415936547293643
AW5	2.221619131273601
AW6	2.640974906492441
AW7	4.071401254947873
AW8	2.1520429679174704
AW9	2.031122161401086
DS1	2.3580522237209083
DS2	3.0475257481664957
DS3	2.6682286135664994
DS4	3.633991582571559
DS5	4.4141317457885965
DS6	4.652757767377244
DS7	4.425374093491382
DS8	4.831070462928331
DS9	3.789029857889416
DW1	3.275976575508029
DW2	5.668783263037795
DW3	3.611175397063058
DW4	2.5663493612319055
DW5	3.3100591546508706
DW6	3.058056516481112
DW7	3.2702219608201597
DW8	3.209874839339575
DW9	3.3540187733082636
RS1	3.5561242851728667
RS2	4.754635415358448
RS3	4.363944937659624
RS4	4.4493282084180725
RS5	3.6923038751863917
RS6	4.122770555249311
RS7	4.467319259577353
RS8	4.192010590955606
RS9	4.875316809475309
RW1	3.8949506075115536
RW3	5.0319684516267715
RW4	5.229397285485607
RW7	4.716972324104781
RW9	4.723331617238181
CH_DT_A	3.7260039112430317
CH_DT_B	3.5605949338518914
CH_DT_C	2.8081205588454567
CH_RS_B	3.6610169376506865
PP_CT_D	4.51821365874031
PP_DT_B	4.603262617122669
T0_432_B_3_2	2.910360737323218
T10_432_DAM_B_A_2	1.4515797198890465
T10_432_DAM_B_B_2	2.313152620593345
T10_432_DAM_B_C_2	1.9858596589365427
T10_432_DAM_B_D_2	1.9322873789332522
T10_432_DAM_B_E_2	2.184238172694449
T10_432_DAM_B_F_2	2.3696390227106847
T10_432_DAM_B_G_2	2.040625479813725
T10_432_DAM_B_H_2	2.4106659217671513
T10_432_DAM_B_I_2	1.2939031158373209
T10_432_DAM_B_K_2	1.2583392066155703
T10_432_DAM_B_L_2	1.7225580396125073
