"(Intercept) Estimate"	"(Intercept) Std. Error"	"(Intercept) t value"	"(Intercept) Pr(>|t|)"	"model.TISSUEleaf_like Estimate"	"model.TISSUEleaf_like Std. Error"	"model.TISSUEleaf_like t value"	"model.TISSUEleaf_like Pr(>|t|)"	"model.HOSTduckweed Estimate"	"model.HOSTduckweed Std. Error"	"model.HOSTduckweed t value"	"model.HOSTduckweed Pr(>|t|)"	"model.HOSTrice Estimate"	"model.HOSTrice Std. Error"	"model.HOSTrice t value"	"model.HOSTrice Pr(>|t|)"	"(Intercept) Pr(>|t|).BH"	"model.TISSUEleaf_like Pr(>|t|).BH"	"model.HOSTduckweed Pr(>|t|).BH"	"model.HOSTrice Pr(>|t|).BH"
"Actinoplanes"	1.98575122069143	0.65896162494277	3.02596788561761	0.0124346345814625	-0.818230307124309	0.89339697679509	-0.917682876912464	0.413402729926634	-1.91260070671708	1.07019302095301	-1.79089149105454	0.116792446925138	0.780110873296325	0.732839112450817	1.06515114123868	0.34529757491268	0.671838714720228	1	0.991990768328669	1
"Actinopolymorpha"	-1.29845042036739	0.424284713706635	-3.04798402592296	0.0174378029993396	0.662898164327461	0.575230280759974	1.15203934020526	0.320690184106811	-0.252299853037236	0.689063706168506	-0.366084695269537	0.467186964114217	-0.380063907638252	0.471852109819329	-0.814372880426289	0.420459657489812	0.622909963993636	0.985607644041873	1	0.993630940427178
"Actinotalea"	0.725141861859326	0.563852855073063	1.29825336297419	0.274038584552968	-0.59131509806615	0.76445185426891	-0.771596810409183	0.463383760632403	-1.09146154771712	0.915730700397047	-1.19473382438427	0.297395065581522	3.83633637559283	0.627067510798507	6.13541738288398	2.62286859848495e-07	0.996621580905537	1	1	0.000123823911758836
"Adhaeribacter"	1.38634374043208	0.567571668243032	2.46033425411172	0.0553909540591959	0.477682650739191	0.769493690269003	0.620384131438944	0.508916099383538	-2.55469834238835	0.921770275009719	-2.78077163726837	0.0153068814010102	0.801539523685588	0.631203247447948	1.27217552532863	0.282538853980955	0.841282156563593	1	0.84496228701328	0.993575432277857
"Aequorivita"	-1.16600556266246	0.431452391573772	-2.6972026440422	0.0444125404440179	0.481642098876232	0.584947966122452	0.832244012384977	0.415710836283958	-0.178555751517221	0.700704442957261	-0.255967630691763	0.465459905664997	-0.568291088992228	0.479823370189676	-1.1911911138386	0.291468010651592	0.744238194863511	0.997146231489816	0.994546012568973	0.96550508623391
"Aerococcus"	-1.10028029548766	0.435556273881682	-2.52473713665005	0.0718702549991302	0.435448639336012	0.590511865306002	0.740369009423174	0.416544316656871	0.100788000682789	0.707369392839766	0.141888340722878	0.539985860109891	-0.590127440633763	0.484387346837622	-1.21903280934194	0.295393984870025	0.781970273479092	0.987732737855328	1	0.980264019739002
"Aeromicrobium"	6.22942108154139	0.460901451688173	13.5711260561259	1.89835815593683e-25	0.696822704190775	0.624873965269895	1.12460503271272	0.328153090500801	-7.70526293633344	0.748531474782968	-10.334537319489	1.29755217875172e-12	-7.39638710002046	0.51257402251882	-14.4775741676366	1.37224106220984e-28	1.01955596577392e-22	1	7.07186125678482e-10	7.55323800102287e-26
"Afifella"	1.27426130436365	0.495775658719521	2.59706841251271	0.049885347668525	2.45890837520464	0.672155187651605	3.66779785479994	0.00303668479343667	-4.59515914486712	0.805169269099837	-5.72898120949038	6.22522295968239e-06	-2.44122472586109	0.551358045686328	-4.44872839066206	0.000815482386787702	0.803472831157456	0.36662638842139	0.00305156241230638	0.120178244362196
"Afipia"	-1.17046256979872	0.427428959537117	-2.72928159719817	0.0421257567326816	0.648297354776027	0.57949313858496	1.124675633056	0.33895407327994	-0.373852700254799	0.694170149118403	-0.541685591035278	0.467992893094374	-0.535799275745612	0.475348863251576	-1.13444489164831	0.321939433009378	0.738924144555002	0.985958871054039	1	1
"Aggregatibacter"	-1.31995834195765	0.43261921634953	-3.04818942402354	0.0360944515651276	0.590120009515598	0.586529906083223	1.00664770836271	0.351516562401326	0.0719219673437305	0.702599436056137	0.107555011483273	0.519302662270397	-0.364257874327821	0.481121009992489	-0.763569163782461	0.410930001905936	0.612568759240771	1	1	0.98629389063864
"Agrobacterium"	6.97086335686651	0.548203158998102	12.7472233052397	1.62745547752168e-25	1.85334019701413	0.743234547172543	2.50164042326814	0.0185038319790326	1.34780669357226	0.890314659636081	1.51758792251308	0.142852527717945	-0.791704240321794	0.609663296429127	-1.29476452337401	0.208719841957903	8.73473632549582e-23	1	1	1
"Agrococcus"	-0.890927352057744	0.435381104381019	-2.03866501988978	0.120338435832944	0.238362109733514	0.590274376662665	0.399665445068018	0.473550801611631	-0.220086758600373	0.707084907112528	-0.304154272949652	0.493219922254216	-0.787889271115893	0.484192538738736	-1.63189086995761	0.20919176132643	0.930094033536796	0.996573268902697	1	0.951656476712143
"Agromyces"	4.83435066792738	0.540097550989535	8.98125593551428	1.87124841017248e-13	-2.8518157236068	0.732245249137822	-3.90196214636491	0.00126526965027055	-2.80391891055123	0.877150668300313	-3.2060355527722	0.00820670180609979	-3.89627716048752	0.600648952719221	-6.49818564492605	5.446988651347e-08	9.82006952374442e-11	0.262065896968276	0.587925662292601	2.5648882283043e-05
"Akkermansia"	-1.25732488605135	0.429114527473555	-2.9220152507955	0.0298614637340551	0.373046627181442	0.581778372264126	0.641811877181796	0.454028112566633	0.0655037160405876	0.696907612080794	0.0933920239929386	0.511295079868186	-0.411284233456959	0.477223403533982	-0.867014107726798	0.420912306577303	0.650978151346327	1	1	0.992246540922378
"Alcanivorax"	-1.27427530239288	0.432586768945856	-2.93589671638448	0.025956229562302	0.402738933226443	0.586485915035415	0.679530155010125	0.408114483391854	-0.0340463316544972	0.702546739535361	-0.0448361643243586	0.447819283477603	-0.342516846748867	0.48108492484639	-0.719247314376102	0.416766651084738	0.701216987474387	0.995433267435735	1	0.995012258561853
"Alicyclobacillus"	3.17432386744276	0.522282773318343	6.1144736489987	1.11125337814441e-06	-0.356561950144869	0.708092600620388	-0.508670518631887	0.564571169233184	-3.53738594609188	0.848218405765003	-4.18158107772521	0.000614520187152443	-2.45558649514603	0.580836925185449	-4.24632982288944	0.000485711653469487	0.000552725124878183	1	0.152990153745138	0.125220215701269
"Alishewanella"	-1.22588984032764	0.430656663543118	-2.8457281108614	0.0326189298340447	0.418272997576745	0.583869146066734	0.721755714614876	0.404703979278095	-0.0262655175675008	0.699412133128056	-0.0352828982090069	0.508912483249903	-0.384038795666335	0.478938431520012	-0.803548971380523	0.403161348493823	0.718051985559807	1	1	0.995045953596863
"Alkaliphilus"	-1.20235804765382	0.430215055000217	-2.792516121485	0.0505189988765767	0.676668991589866	0.583270428748121	1.1568458850391	0.324409182011218	-0.322531021579397	0.69869493448899	-0.457300691942029	0.496473154299315	-0.528301887856463	0.478447313372338	-1.1003871102928	0.322073803859789	0.705663289895947	0.975769685898227	0.996937748647514	0.976761259509625
"Alloiococcus"	-1.02253002017635	0.449473066637126	-2.26797022574468	0.0969124403241801	1.10944962558802	0.609379763076949	1.82736094700682	0.169881901571709	-0.835305657449386	0.729971095150153	-1.15061963950156	0.335382653887802	-0.731423665229343	0.499864378678357	-1.46991021898683	0.237137115122166	0.867305443436285	0.952828922325252	0.986526380115484	0.979011797729257
"Amaricoccus"	2.71087221067963	0.469088362119289	5.81368472485386	9.88293657579209e-06	1.45898237445295	0.635973490267404	2.29856926493443	0.0720178783793042	-4.99981350758969	0.76182750610696	-6.58216661964951	1.58874004062124e-07	-4.35656197711562	0.521678783626229	-8.37941109704356	2.50176695676352e-11	0.00459866375166179	0.924363794244856	8.09121182160021e-05	1.25630134084518e-08
"Ammoniphilus"	0.576203368067046	0.50617422412494	1.15571166714419	0.322975733003071	-0.278776960813387	0.686253196616868	-0.406933942728867	0.549811229181586	-1.15020033624007	0.822057160144736	-1.40471952984455	0.264868193182823	-0.211183335682861	0.562922414769476	-0.376992151847365	0.548878206977961	1	1	0.985021938975858	1
"Amycolatopsis"	2.00904994404603	0.557488511207211	3.62723083459888	0.00312873196883626	-2.34930058358481	0.755823300869415	-3.12350361686713	0.0137543782744773	-0.53646298927596	0.905394625987901	-0.588062184110803	0.489547577551052	-1.35724611140778	0.619989647788824	-2.19102662749298	0.0574809516065532	0.357582821758991	0.610254507256483	1	0.958985130153201
"Anabaena"	-0.620361387085727	0.5548546971358	-1.11183166449924	0.33555370522834	-1.45667960029515	0.752252468457068	-1.9426546835126	0.109260911153379	1.35763957977424	0.90111715468909	1.51056289164264	0.224620626601373	2.56390011482004	0.617060551626934	4.16383073326806	0.000561438181312665	0.996214583183926	0.96484056482806	0.982431695207912	0.167261024013139
"Anaerococcus"	-0.777825646097816	0.444605889411795	-1.73875837569704	0.188848922023441	1.09263638635218	0.602781015511013	1.82297166578813	0.163559428285378	-0.685450580259583	0.72206650875069	-0.957142905495229	0.400397266318363	-0.952078698790594	0.494451532614275	-1.93356116448477	0.155628806217134	0.934700390181996	0.951593313707366	1	0.91311993160273
"Anaerofustis"	-1.26373466769896	0.430135272664443	-2.93683866901334	0.0308509719851795	0.435369227559847	0.583162262665478	0.75226166276417	0.451145584696029	-0.0314513050907373	0.69856536321244	-0.0440601750035555	0.504048038752231	-0.273418862741972	0.478358586481538	-0.570952342082324	0.442900363398079	0.658401323464431	1	0.99358588236366	1
"Anaerolinea"	0.599159917253449	0.439195429406698	1.38470543702859	0.267987336549531	-5.51696331699014	0.595445704274878	-9.29067825128965	6.40989868582789e-13	4.17925157161275	0.713279598681227	5.86933180074242	3.52096619534154e-06	8.71682279789755	0.488434495266417	17.9053550119388	3.88424649982682e-37	0.971495747647944	3.47576560156356e-10	0.00175311975880209	2.18292802156539e-34
"Anaeromusa"	-0.998423793431773	0.52380460408902	-1.89574692773252	0.131315048463924	-0.232122690844215	0.710155845213478	-0.331388423726126	0.553894324550846	0.447797160522979	0.850689949794583	0.526592522602397	0.510660926137033	1.04639958586718	0.582529371405485	1.80041100112959	0.148609474227179	0.965484796726957	1	1	0.967185221844853
"Anaeromyxobacter"	1.50666018803401	0.461740693828186	3.28602679017789	0.0139520750098395	-6.47933094670038	0.626011780223463	-10.3683114705554	1.8455326477469e-16	5.09909647093783	0.749894454123699	6.80933798773741	1.40698917912757e-07	10.8127301018321	0.513507353750472	21.1064746770536	7.15437453327528e-49	0.504358992405699	1.01538812691242e-13	7.19664997970836e-05	4.04937608022963e-46
"Anaerospora"	-1.07090079135756	0.435035002393599	-2.44315662024412	0.0788290636395637	1.1070438117595	0.589805143770308	1.88863957627331	0.154797934565416	-0.901123299375033	0.7065228168216	-1.29406648464028	0.290876092563474	-0.700493950681283	0.483807634574855	-1.46359856024821	0.247163261435513	0.810410913980931	0.940776334132343	0.985022378965209	0.96515697678229
"Anaerostipes"	-1.22887579578381	0.42557282874778	-2.88712399743888	0.0371893880258367	0.474017902539983	0.57697666179335	0.822586239582216	0.409393713273915	-0.124383703264816	0.691155681899773	-0.177001149818053	0.49709805553159	-0.412557688596995	0.473284637978414	-0.86527820453726	0.405021841346466	0.688120341423761	0.998729783889416	1	0.993828027404347
"Anaerovibrio"	-1.11218885668505	0.483666082747747	-2.29687395607202	0.0659165630988679	0.103378076664896	0.655737450785072	0.158914393687684	0.535081158716352	0.141902229096491	0.785502594742558	0.189002050279415	0.541094201540386	-0.015912764014185	0.537890841267434	-0.0218635281668284	0.543786205648453	0.878633334345407	1	1	1
"Anaerovorax"	-0.773512503250668	0.536180125165936	-1.43855661803974	0.249887276364015	-0.732801424838958	0.726934141092758	-1.01113390298833	0.381138548627003	0.824686539353888	0.870788534880358	0.952235479605029	0.395480966947925	1.65882422088164	0.596292336559808	2.79043588775133	0.0252721850742638	0.992734672145761	0.990790147661975	1	0.764035645902643
"Ancylobacter"	-1.23600589136156	0.4441253627011	-2.78397897118105	0.0294163979122146	0.247219309572671	0.602129534310356	0.423780767016603	0.453472292262634	0.573308037076756	0.721286104683591	0.794941831916087	0.417809099162139	-0.152194537947081	0.493917133106254	-0.305305197649111	0.545232775845089	0.745137218898349	1	1	1
"Aneurinibacillus"	-1.29911761267955	0.433815290155744	-2.99268187861076	0.0300775059238365	0.478558035163594	0.588151500849972	0.818168475978395	0.371001936190092	-0.11229949992336	0.704541931326732	-0.158083421751193	0.513871044252113	-0.321091940844288	0.482451177992254	-0.671532740053323	0.416667197785783	0.647400237616856	0.998890327549305	0.995735131278045	0.995847340314055
"Anoxybacillus"	-2.03412301277475	0.537932011929845	-3.7815212249772	0.00234554493877818	3.03396954308275	0.7293092875039	4.17217442132155	0.00122729266038873	0.530993245741511	0.873633703578001	0.611656225050421	0.529959784707002	0.93575525789867	0.59824063080424	1.56714705644282	0.210889450982806	0.311990015270539	0.158193321153285	1	0.989514511172524
"Aphanizomenon"	-1.31753117033651	0.428640288068019	-3.07579741942938	0.0254935599456663	0.451063953270996	0.581135415170501	0.784336189219591	0.402044518105701	0.034824965951906	0.696137418972646	0.0518113070871843	0.452965507665942	-0.31519141931976	0.476695996213301	-0.659918050741538	0.439277094882523	0.637876767636274	0.992554436825151	1	0.993817067612323
"Aquabacterium"	-1.21946490187834	0.425052658910559	-2.87076620763089	0.0367151426998707	0.597835147395838	0.57627143383712	1.03673023763914	0.357403500739086	-0.285888112767435	0.690310895028381	-0.413943067773534	0.519713202671079	-0.473111494138177	0.47270615087476	-0.997983476735125	0.3656814041087	0.707716481791299	0.992588049052589	1	0.987951390864831
"Aquicella"	-0.320885596578525	0.475271121397445	-0.661243306859501	0.494589079776669	-1.87260662907123	0.644355857674362	-2.91649872850407	0.0297826185469343	1.552783377727	0.771868676304525	2.01506629422454	0.137278658177057	3.10588609339528	0.528554704241931	5.89366907144577	2.34122761047673e-06	0.993984997536134	0.68081030807175	0.936112899764495	0.00106458422393259
"Aquimonas"	-1.22242443463895	0.464071245877241	-2.63550114021019	0.0487470573641369	0.149824926050203	0.629171460660194	0.233937956232963	0.45229709656544	0.138880127014206	0.753679409792525	0.195300248288867	0.557716218651592	0.0135024100245307	0.516099188586526	0.0293318831641467	0.551897729007373	0.79787203206903	1	1	1
"Aquitalea"	-1.20070788319392	0.70141633642752	-1.71145279196024	0.149437533778564	0.347747234345246	0.95095558029416	0.369242825433901	0.628566739894019	3.06705739399073	1.13914200708175	2.69573007189655	0.0186457307073327	1.4935505126353	0.780053505377782	1.91900826172759	0.110776109135944	0.986405438465373	1	0.85713369454108	0.981332055704618
"Arcanobacterium"	-1.23269143629919	0.429055835723011	-2.87957933530602	0.0375244653074534	0.477839050011777	0.581698800054585	0.844546377467269	0.364395713479385	-0.0991129854627352	0.696812293173832	-0.15069715886432	0.497002698736352	-0.427496148479651	0.47715813173552	-0.88959764128047	0.382109872011525	0.677032463694728	0.989574875798719	1	1
"Arcobacter"	-0.87610624950603	0.512644007412878	-1.69336697316811	0.179343555155976	-0.716097750936556	0.695024701073543	-1.04006136068288	0.372934744099199	0.932317417486614	0.832564474470408	1.11965525394085	0.355949881417953	1.39408883994309	0.570117538222823	2.44935397402405	0.050325303632647	0.968859082585264	0.984226062961542	0.992228108783167	0.875040464534095
"Ardenscatena"	-0.300605548936513	0.492103083601976	-0.602062067286813	0.494000729024195	1.15725745711156	0.667176039575489	1.74244824588148	0.16384153016858	-1.72949107646816	0.799204787844856	-2.16837685853582	0.0838660715970533	-0.408612686371792	0.547273730928568	-0.748095720409921	0.448704196246941	1	0.978364672856378	0.93025464352991	1
"Arenimonas"	-0.56152525286188	0.540616174839349	-1.03423552204383	0.342674700067376	-0.452854150171097	0.732948381098743	-0.615001113403635	0.503649702028437	0.101611378518656	0.877992944395858	0.118591561604319	0.564068514208718	1.50577115088234	0.60122572051177	2.51751279777099	0.0441836790565405	1	1	1	0.877455524059639
"Arthrobacter"	1.10343147655576	0.479984889652854	2.32521134521192	0.0677282745539216	-0.89811882210999	0.650746618758607	-1.382895766615	0.256297931313242	-0.495671211216722	0.779524117377846	-0.642186804619587	0.465895917560513	-2.49423059626878	0.533796942353889	-4.69524787648475	0.000232335021963159	0.901204704081745	0.993054670622004	1	0.0507116984362306
"Arthronema"	-1.20216841194759	0.432824815484784	-2.76521402019534	0.0409354631216424	0.438625133913988	0.586808650154069	0.752800588784041	0.410763911837064	-0.147600783499145	0.702933341326694	-0.2172658982503	0.515940482899332	-0.263041320460256	0.481349659252321	-0.558997387605356	0.442664102531001	0.69844436783208	1	1	1
"Asteroleplasma"	-1.05326399337435	0.464577820586514	-2.25989388577697	0.0807386875314386	-0.0869368335705578	0.629858256820479	-0.14615387331597	0.503799659133176	0.264742618281679	0.75450211736446	0.362604698574747	0.501388477893165	0.494682339855386	0.516662556385623	0.961343897737546	0.388286057253064	0.898253919036459	1	1	0.992406942835005
"Asticcacaulis"	5.49197830668148	0.600508151356711	9.16484830566191	3.18035602234528e-15	-4.48547905602214	0.814147814767648	-5.5121107207288	1.49545966468667e-06	6.73725038719131	0.975261089996187	6.91591013065967	2.53887660324253e-09	-0.481807232692044	0.667832304647411	-0.722049932872529	0.492896984341684	1.67091559191838e-12	0.000745952591831227	1.33570512206941e-06	1
"Atopobium"	-1.02705210542955	0.437688404639375	-2.34845885341257	0.0739957030383759	0.945164073442346	0.59340253313999	1.60601955712501	0.216950723789198	-0.737598920251542	0.710832100485056	-1.04774749091354	0.33362874731008	-0.73140128363751	0.486758514979974	-1.499396110272	0.251419881511895	0.867719726970145	0.984142254997243	1	0.968872265986893
"Azoarcus"	-0.0544348230530296	0.548536457910047	-0.0894316693899349	0.593749338342135	-1.46763851078559	0.743686422105817	-1.97914395853673	0.114561241018193	0.677185992471654	0.890855956968054	0.760939242132698	0.478553683746335	1.26695202228891	0.610033962139489	2.08087972348911	0.0883239304635465	1	0.942074096470952	1	0.943179989836538
"Azohydromonas"	-1.15180373688088	0.444184471755934	-2.58826887763464	0.0546425214013391	0.870073813870796	0.602209672286364	1.4459695605648	0.241849429605754	-0.118584457686986	0.721382101317635	-0.159947551308091	0.445387572332494	-0.586770462339404	0.493982868993812	-1.18794047557499	0.325005999760899	0.787391511300464	0.967456883868997	1	0.990155365168901
"Azorhizobium"	-1.20806489951046	0.426683540858838	-2.82954211247195	0.0275896162668046	0.419395989969043	0.57848252617839	0.725712696419049	0.44233400669932	-0.118635718934936	0.692959544681078	-0.1640664896447	0.490351713687725	-0.403962503426093	0.474519874215011	-0.851849427369649	0.396695671980115	0.738048098111589	1	1	1
"Azospira"	-0.719540371372155	0.574801256722533	-1.2494546124162	0.28937767720295	-1.19103342497914	0.779295311860578	-1.52907669431549	0.206354614943738	0.995493190395759	0.933511558329208	1.06921274385323	0.354750601198897	2.03034437818233	0.639243359351523	3.18457607926543	0.010529449295704	0.997819782946525	0.988070405271934	1	0.576074557744978
"Azospirillum"	0.734288941592029	0.464449986635026	1.59655439305928	0.215698637285147	-4.38385670040532	0.629684944048584	-6.98288046669996	3.67619561689471e-08	10.0800260079988	0.754294507395162	13.4091115104985	1.31467418693428e-23	7.38298478111136	0.516520390717694	14.333315899438	2.76114799606521e-28	0.973077889301904	1.87929548825641e-05	7.46051163019675e-21	1.51809348667903e-25
"Azovibrio"	-1.29387621574702	0.431339294478756	-2.98798534438558	0.0331789086994365	0.534315466815836	0.58479463306185	0.911490297981714	0.390657486867815	-0.104699682800483	0.700520766522708	-0.145385303950682	0.527887424394253	-0.38126340884782	0.479697593556265	-0.80093474819232	0.42360639074934	0.648940998474241	0.995149420679892	1	0.988071282773434
