Genus	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AW1	AW2	AW3	AW4	AW5	AW6	AW7	AW8	AW9	DS1	DS2	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DW1	DW2	DW3	DW4	DW5	DW6	DW7	DW8	DW9	RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RW1	RW3	RW4	RW7	RW9	SL1	SL2	SL3	SL4	SL5	SL6	SL7
HB118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	293	423	331
Herbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	582	0	0	0	0	375	124	0	59	199	122	183	478	795	768	1473	41	0	937	203	268	322	189	134	1365	69	38	65	78	0	0	0	0	0	0	0
HTCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	18	746	285	837	36	57	107	76	127	1290	667	727	596	0	48	0	291	637	257	0
Hymenobacter	0	0	6	0	0	0	0	0	0	0	0	46	0	0	46	0	38	0	0	7	0	0	0	0	54	130	2	0	25	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	65	0	0	963	936	688	840	523	41	1340	210	0	0	112	190	199	50	0	0	22	128	127	1775	287	93	396	0	107	63	0	75	543	137	616	348	170	234	668
Iamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	58
Inquilinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0
Janthinobacterium	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	70	0	60	109	1344	1056	804	52	109	122	120	2357	9393	33	298	1135	2718	2790	7072	4717	1992	2947	379	10253	5991	16016	2155	1175	1411	547	2565	3518	1205	1479	767	48	0	0	427	111	28	0
JG37-AG-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
Kaistia	0	0	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	36	0	0	0	0	0
Kaistobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	76	61	84	37	0	0	51
Kineococcus	0	0	68	7	0	0	0	0	13	0	0	7	0	0	17	13	21	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labrys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	6	0	0	85	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	153	23	528	21	0	30	288	127	0	0	0	0	0	0	0
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	48	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Larkinella	0	0	12	0	0	0	0	0	0	0	0	29	2	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14
LCP-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	298	79	624	388	312	448	724
Leadbetterella	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	31	0	0	99	145	0	18	65	0	20	0	0	6	0	5	18	6	0	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Leptolyngbya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	41	0
Leptonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	32	6	11	32	221	95	42	47	33	28	28	61	82	0	13	0	55	91	80	28
Leptospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0
Leptothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717	495	114	0	574	0	0	0	72	38	69	0	0	0	0	0	0	63	22	0	0	0	0	0	0	0	0	0	0	0	0	0	88
