Genus	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AW1	AW2	AW3	AW4	AW5	AW6	AW7	AW8	AW9	DS1	DS2	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DW1	DW2	DW3	DW4	DW5	DW6	DW7	DW8	DW9	RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RW1	RW3	RW4	RW7	RW9	SL1	SL2	SL3	SL4	SL5	SL6	SL7
Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	97	0	0	0	0	24	20	32	18	35	0	44	0	22	0	0	0	0	0	0	0
Perlucidibaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	49	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	181	303	104	23	55	44
Phaeospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Phenylobacterium	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	20	0	0	84	0	0	0	0	0	0	43	0	0	0	0	34	0	0	0	0	53	191	60	14	31	121	239	268	279	230	215	136
Phormidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	17	0	13	43	24	93	15	19	73	93
Phytophthora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	948	575	944	118	335	332	464	476	1359	1823	1081	441	108	531	3131	1610	8365	815	19	118	304	0	0	327	277	97	504	39	180	1015	279	603	0	5	0	0	0	0	0
Pimelobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	21	0	42	220	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	21	43	23	9	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	77	0	0	0	21
Planctomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	111	23	31	133	75	7	194	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	51	87	131	69	37	78	137
Planifilum	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	140	16	0	0	0	18
Planktothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Pleomorphomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	111	61	247	0	0	0	0	0	0	0	0	380	0	0	0	0	0	117	0	221	0	0	0	0	0	0	0	0	0	0
Plesiocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Polaromonas	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter	0	0	0	0	0	0	0	0	0	9	0	0	6	14	0	0	13	0	0	0	0	0	0	0	58	41	19	0	29	0	0	0	19	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	62	0	0	0	13	23
Pontibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	64	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	98	0	53	0	0	289	21	292	19	0	0	313	336	0	0	0	0	0	0	0
Propionivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	40	0	0	0	0	0	25	0	0	0	0	0	0	0	365	3014	568	2101	535	532	1899	876	3454	443	1154	954	2895	3590	1089	1770	733	153	397	444	0
Prosthecobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	18	0	0	0	0
Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSB-M-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	232	51	7	11	21	0
Pseudanabaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	15	8	49	0
Pseudomonas	1799	18470	1836	50	117	350	816	338	14	2488	647	676	14	29	81	286	162	42	33539	249	20756	1084	131	63	26	84	3274	25721	74	159	847	1623	46	271	620	17218	596	1049	1488	957	1234	171	344	484	168	550	545	37	752	135	31	98	32	0	81	0	3
Pseudonocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Puniceicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0
Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	20	371	14	0	622	8	11	0	18	0	0	0	1248	0	0	422	0	0	34	781	1305	0	0	16	0	0	0	114	0	0	0
Ramlibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	38	0	0
Reclinomonas	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	57	0	32	138	113	6	30	0	8	417	29	13	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
RFN20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	34	14	41	274	88	69	51	33	440	410	75	17	0	51	21	0	307	30	0	0	89	0	0	28	0	0	52	0	8	0	21	0	20	0	0	0	0	0
Rhodobacter	20	0	0	0	17	0	0	4	19	0	22	18	0	0	0	0	16	0	115	213	16	43	941	762	1532	1597	87	93	1752	220	6	34	269	214	38	75	0	0	55	0	0	0	0	0	0	0	646	59	0	0	18	192	82	19	120	40	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	22	133	200	264	383	248	3225	75	0	0	20	16	195	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodocytophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	293	0	0	0	397	152	0	0	516	362	0	167	0	0	0	276	0	293	0	0	0	0	0	0	0
Rhodoplanes	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	29	174	29	184	208	207	30	338	17	0	0	260	34	35	42	261	282	1131	35	159	429	423	340	481	45	424	890	143	355	9311	2332	3253	1161	1709	1833	2467
Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	149	60	117	10	16	134	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	28	0	0	7	0	18	0	0	0
Roseomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	35	161	50	0	0	0	39	0	19	0	11	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	35	0	0	0
Rubellimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubrivivax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	35	145	484	0	0	236	35	0	0	0	0	81	0	489	478	1084	183	0	368	242	596	749	229	764	479	615	513	696	215	120	1127	421	606	76
Rudanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	10	14	0	44	0	293	0	0	0	0	1498	0	1116	0	0	12	8264	736	0	15	0	7	0	17	3
Runella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	4	100	15	8	64	15	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0
Salinispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Saprolegnia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0
SC3-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Sediminibacterium	14	0	0	0	0	0	13	0	0	0	27	0	0	0	19	0	23	16	0	384	0	14	88	59	13	43	18	123	149	203	120	12	75	128	203	0	0	0	8	0	0	0	0	0	40	0	220	88	0	0	38	32	154	43	39	250	0
Segetibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	47	108	69	0	0	0	0	50	22	0	0	0	0	0	67	45	0	26	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SJA-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	168	0	36	0	0	88	209	61	42	233	71	61	35	79	59
Skermanella	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	35	653	407	0	67	0	0	24	0	0	0	0	0	0	0	0	0
Solibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	40	54	0	0	0	0	0
Solirubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solwaraspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
Sphaerisporangium	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	5	0	0	34	0	0	16	0	0	0	0	0	0	0	38	18	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Sphingobium	0	0	114	23	0	17	0	0	0	0	8	42	0	21	0	37	0	0	0	0	0	66	14	27	0	0	79	0	45	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	184	0	0	9	0	0	0	0	0	0	0
Sphingomonas	814	1184	1143	1063	1135	180	2119	2056	447	1425	1584	1773	209	5021	5736	2659	2967	1553	240	532	289	595	235	114	107	107	3172	2676	337	2035	708	1140	1346	2290	731	1508	186	192	46	68	0	100	65	42	66	379	513	23	44	59	0	53	109	181	37	0	0
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	35	0	11	17	8	0	29	31	23	0	38	0	21	0	20	0	0	11	215	34	26	0	20	16	24	124	118	451	23	33	14	37	35	30	78
Spirosoma	0	0	0	0	6	3	0	0	0	0	0	110	0	6	231	15	19	6	0	0	0	0	0	5	0	29	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0
Sporomusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	640	0	265	0	280	519	18	1109	0	0	39	695	111	0	18	0	0	0	0	0
Sporosarcina	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0
Staphylococcus	15	0	27	52	0	0	0	0	0	13	0	9	0	4	14	150	12	0	0	0	125	41	29	56	0	122	21	22	402	17	21	0	0	29	0	0	0	0	0	26	0	0	0	0	0	0	0	15	0	0	0	0	15	5	0	0	0
Stenotrophomonas	330	0	0	0	0	81	7	0	0	845	54	39	0	0	0	0	0	0	1214	79	279	2822	19	0	0	21	92	4085	59	145	3027	176	101	51	97	1755	0	31	0	20	19	0	0	0	0	103	0	0	0	0	16	0	0	0	0	0	0
Steroidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	89	0	14	11	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	54	0	0	0	0	0	40	22	0	51	14	0	0	75
Streptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	31	0	0	0	36	7	0	17	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0
Sulfuricurvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	418	0	0	295	0	6	69	0	12	82	0	0	3	22
Sulfuritalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
Sulfurospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	131	264	175	1203	253	116	249	771	1060	88	105	195	425	265	0	0	0	0	0	0	3
Symbiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
Synechococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	79	141	0	0	25	79	0
Syntrophobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	14	393	0	45	0	58	64	74	0	220	102	236	250	989	2858	1735	1773	1646	1890	1945
Syntrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	9	66	0	0	26	101	26	0	8	7	0	9	0	106
Syntrophus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	85	0	0	649	1588	802	287	316	938	661
T78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	65	0	0	0	0
Tatlockia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Telmatospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	13	10	19	0	758	78	190	566	382	1021	1079	984	1340	841	72	102	2214	2058	0	10	0	0	0	0	0
Tepidimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0
Tepidimonas	0	0	5	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	20	31	0	0	0	0	17	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	46
Terriglobus	65	0	0	0	0	0	0	0	0	140	20	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thauera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	77	286	0	0	0	286	0	820	259	175	0	431	190	0	0	0	0	0	0	0
Thiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
Thiomicrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	165	0	0	0	0	0	288	0	0	0	175	197	0	0	0	0	0	0	0
Tolumonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	2081	0	0	205	0	0	0	0	0	0	0	24	0	0	0	0	0	0	19	4939	3897	3917	823	5196	921	1070	466	2365	3324	1685	24	646	289	44	102	0	33	0	0	0
Treponema	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	8	0	160	0	0	0	0	0	0	83	5	0	0	12	7	0	45	258	5011	4292	524	39	628	4439	343	5376	229	239	2755	9587	11102	1088	1765	1435	329	908	560	655
u114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	306	60	14	35	10	0
Uliginosibacterium	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	177	0	146	57	0	8	372	24	11	0	0	13	19	53	74	19	0	60	0	38	37	2602	3782	7853	4057	3446	3569	3899	1655	4329	3644	1628	787	2763	5296	91	116	0	55	69	160	117
Ureibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	57	0	0	0	0	0
vadinHB04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	13
Variovorax	0	0	378	0	0	0	0	0	0	0	0	1328	32	27	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	94	45	201	63	41	150	67	236	155	115	26	129	289	0	0	0	0	0	0	0
Vermamoeba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	13	15	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vogesella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	16562	50	25502	789	0	0	0	0	11642	24880	0	142	62	320	17687	851	33	11021	834	205	590	721	2160	350	394	843	320	1177	460	341	1091	221	22	19	82	750	231	23	0
W22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0
W5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
WCHB1-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	333	0	0	0	111	42	144	0	45	25	120	200	323	408	187	88	63	214	43
Weissella	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WH1-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
Williamsia	14	0	11	0	0	0	0	0	0	11	0	7	0	0	5	7	0	0	0	116	0	0	839	378	101	252	26	34	646	31	29	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolbachia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthobacter	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	44	11	0	0	0	0	18	9	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas	0	299	271	0	0	0	0	0	0	197	1913	1129	153	0	152	241	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZD0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zoogloea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	108	0	0	30	24	0	0	0	68	270	135	12	347	23	101	285	1170	219	306	269	27	819	230	0	0	0	68	166	0	0
